2019 Use of Force Data,,,,,,,,,,,,,,
Event ,Incident/Type of Charges,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:",
61,"Disorderly Conduct, Resisting Arrest A&B PO",3:38 PM,No,34,M,White,Non-His,Alcohol,Rear Wrist Lock,1,Arrest,No,No,
62,"Open Container, Disorderly, A&B PO, Disturbing the Peace, Vandalism",10:35 AM,No,36,M,Black ,Non-His,Alcohol,"Rear Wrist Lock, Tackle, Physical Force, Front Punch",2,Arrest,Face hurt,No,
63,"Trespass, Intimidation of a Witness, A&B Family/Household Member",7:31 AM,No,27,M,Black ,Non-His,No,Tackle,7,Arrest,Cut on arms,Leg injury,
64,"Warrant, Resisting Arrest, A&B PO, Possession Class C",11:07 AM,No,31,M,Asian,Non-His,No,"Non-Compliant Escort Position, Front Wrist Lock, Front Wrist Lock to Rear Wrist Lock, Bent Wrist Lock, Front Punch",3,Arrest,Swollen right cheek and bloody nose,Injury to right ear,
65,OUI Second Offense and Disoderly Conduct,4:55 PM,No,28,M,White,Non-His,Other,Non-Compliant Cuffing,3,Arrest,Small cut to wrist,No,
66,Section 12,7:03 AM,No,42,M,White,Non-His,"Drugs, Other","Non-Compliant Escort Position, Front Wrist Lock, Front Wrist Lock to Rear Wrist Lock, Bent Wrist Lock, Front Punch",3,Offense,"Minor scrapes on both arms, and left side of forehed",Minor scrape to left elbow,
67,"Protective Custody, A&B PO ",8:25 PM,No,65,F,White,Non-His,Alcohol,"Rear wrist lock, Physical force",4,Arrest,Minor laceration from handcuffs,Minor wrist scratch,
68,Disturbing the Peace/ Resisting arrest,4:30 PM,No,67,M,Black ,Non-His,Alcohol,"Non-compliant Escort Position, Rear Wrist Lock, Bent Wrist Lock",2,Arrest,Hit forhead on ground,No,
69,Section 12 ,6:23 PM,No,15,F,Black ,Non-His,No,"Non-Compliant Escort Position, Rear Wrist Lock",2,Offense,Small laceration on wrist,No,
70,"Disorderly, A&B PO, Resisting Arrest",2:51 PM,No,34,M,White,Non-His,Alcohol,"Rear Wrsit Lock, Physcial Force",2,Arrest,Yes,Kicked by suspect,
71,Section 12,7:03 AM,No,42,M,White,Non-His,Other,"Non-compliant Escort Position, Front Wrist Lock, Rear Wrist Lock, Front Wrist Lock to Rear Wrist Lock, Front Punch, Baton",3,Offense,No,No,
72,Protective Custody,10:15 PM,No,27,M,White,Non-His,Alcohol,Baton,2,Custody,No,No,
73,Disorderly and Combative ,6:08 AM,Metal Flashlight,29,M,White,Non-His,Other,"Baton, Middle block",2,Arrest,No,No,
74,A&B PO,5:48 PM,No,31,M,White,Non-His,Other,"Baton, Leverage Pressure Compliance",5,Arrest,No,No,
75,Protective Custody,8:07 PM,No,37,M,White,Non-His,Alcohol,Baton,2,Custody,No,No,
76,"Disorderly Conduct, A&B on PO, Resisitng Arrest",2:59 PM,No,45,M,White,Non-His,Alcohol,"Physical Force, Baton",3,Arrest,Face lacerations from rocky surface,No,
77,Suspect fled from raffic accident on I-91,11:17 PM,No,57,M,Black ,Non-His,No,"Firearm displayed, Pointed at Human, Physcial Force",2,Offense,No,No,
78,Improper Storage of Firearm,8:38 PM,Firearm,59,M,White,Non-His,No,Firearm Displayed,2,Offense,No,No,
79,Attempted Murder,12:37 M,No,51,F,White,Non-His,Alcohol,"Firearm Displayed, Pointed at Human",6,Arrest,No,No,
80,Suicide,1:43 PM,"Knife, Pellet Gun by his Side",22,M,Black ,Non-His,"Drugs, Other","Physical Force, Firearm Displayed",5,Custody,No,No,
81,Section 12,9:36 PM,Knife/ Razor Blades,66,M,White,Non-His,"Alcohol, Drugs, Other","Rear Wrist Lock, Firearm Displayed, Pointed at Human",2,Custody,No,No,
82,Stolen Motor Vehicle,1:51 AM,Knife,15,M,Black ,Non-His,No,"Firearm Displayed, Pointed at Human",4,Arrest,No,No,
83,Attempted Murder,12:30 AM,No,51,F,White,Non-His,Alcohol,"Firearm Displayed, Pointed at Human",3,Arrest,No,No,
84,Disturbance,1:21 AM,Aluminum Baseball Bat,33,M,Middle Eastern,Non-His,No,"Firearm Displayed, Pointed at Human",1,Offense,No,No,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
