2015 Use of Force Data,,,,,,,,,,,,,
Event #,Call Type,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
15,"Disorderly Conduct,Trespassing",3:07 AM,No,43,M,White,Non-Hisp.,None,Strike to the Face,2,Arrest,No,No
,,,,,,,,,"Baton - Rear Baton Arm Lock, Forward Jab",,,,
16,Section 12- Mental Health,2:35 PM,No,30,F,White,Non-Hisp.,None,Rear Wrist Lock,2,PC,No,No
17,Redacted*,9:19 PM,No,18,F,Black,Non-Hisp.,None,"Wrist Lock, Rear Wrist Lock, Knee Strike",2,Arrest,No,No
18,Warrant Arrest,10:50 AM,No,42,M,Black,Non-Hisp.,Drugs,Arm Bar Take-Down,2,Arrest,No,No
,,,,,,,,,OC Spray,,,,
19,Disorderly Conduct,1:12 AM,No,29,M,White,Non-Hisp.,Alcohol,Pinned Against Cruiser,1,Arrest,No,No
20,"Disorderly Conduct, Assault and Battery",1:12 AM,No,24,M,White,Non-Hisp.,Alcohol,Arm Bar Take-Down,1,Arrest,Cut on Lip from Take Down,No
,,,,,,,,,Baton - Leverage Tool,,,,
21,"Disorderly Conduct, Assault and Battery on a Police Officer",1:12 AM,No,24,F,White,Non-Hisp.,Alcohol,Restrained to the Ground,1,Arrest,Wrist/Arm Sore from being Restrained,Assaulted in the Face  
22,"Section 12 - Mental Health, Redacted*",12:55 AM,No,36,M,White,Non-Hisp.,Alcohol,Prone Position Restraint,2,PC,No,No
23,Open Container of Alcohol,1:29 PM,No,44,F,White,Non-Hisp.,None,Arm Bar Take-Down,1,Arrest,No,No
24,Disorderly Conduct,11:00 PM,No,17,M,White,Non-Hisp.,Alcohol,Arm Bar Take-Down,1,Arrest,Cuts on Face ,No
25,"Disorderly Conduct, Drug Activity",12:04 AM,No,65,M,White,Non-Hisp.,Drugs,Reverse Wrist Lock,2,Arrest,Cuts on Wrist from being Restrained,No
26,"Disorderly Conduct, Redacted*",9:43 PM,No,29,M,White,Hispanic,Alcohol,OC Spray ,2,Arrest,Eyes Sore from OC spray,No
27,Bank Robbery,10:22 AM,Yes,58,F,White,Non-Hisp.,None,Firearm- Point/Aim at Human,3,Arrest,No,No
28,Redacted*,6:19 PM,No,39,F,White,Non-Hisp.,Alcohol,Wrist Pinned Against Cruiser,2,Arrest,No,No
29,Warrant Arrest,8:46 PM,No,31,M,White,Non-Hisp.,Drugs,Firearm- Point/Aim at Human,2,Arrest,No,No
30,Warrant Arrest,8:46 PM,No,31,M,White,Non-Hisp.,None,Firearm- Point/Aim at Human,2,Arrest,No,No
31,"Oper. Under Inf., Fail to Stop, MV charges",11:31 PM,No,45,M,white,Non-Hisp.,Alcohol,Firearm- Point/Aim at Human,1,Arrest,No,No
32,Redacted*,9:51 AM,No,46,M,White,Non-Hisp.,None,Non-Compliant Escort Technique,1,Arrest,Shoulder Injury from being Escorted,No
33,Section 12- Mental Health,7:16 PM,No,23,M,White,Non-Hisp.,None,Double Take-Down,2,PC,Cut on Head,No
,,,,,,,,,OC Spray,,,,
34,Disorderly Conduct,11:47 PM,No,55,F,White,Non-Hisp.,Alcohol,Rear Wrist Lock,1,Arrest,No,No
35,Shoplifting,10:43 AM,No,28,M,White,Non-Hisp.,None,Foot Chase Tackle,2,Arrest,Unspecified Minor Injury from Tackle,Arm Injury
36,Section 12- Mental Health,9:44 PM,No,35,F,White,Non-Hisp.,None,Rear Wrist Lock,2,PC,No,No
37,Section 12- Mental Health,2:20 PM,No,25,F,White,Non-Hisp.,None,Wrist Lock,3,PC,No,No
38,Breaking and Entering ,11:24 PM,No,18,M,White,Non-Hisp.,None,Firearm- Point/Aim at Human,2,PC,No,No
39,Medical Emergency,9:01 PM,No,16,F,White,Non-Hisp.,None,Rear Arm Lock Escort,3,PC,No,No
40,Redacted*,3:07 AM,No,23,F,White,Hispanic,None,Wrist Lock,2,PC,No,No
41,Disturbance,1:17 PM,No,35,M,White,Non-Hisp.,None,"Rear Wrist Lock,  Double Arm Bar Take-Down",2,PC,No,No
42,Section 12- Mental Health,10:59 AM,No,27,M,White,Non-Hisp.,None,Brought to Cruiser in Escort Position,2,PC,No,No
43,Disorderly Conduct,8:44 PM,No,30,M,White,Non-Hisp.,Alcohol,Arm Bar Take-Down,2,Arrest,Cuts on Right Side of Body from Take Down,No
44,Mental Health- Assaultive Behavior,11:24 AM,No,35,M,White,Non-Hisp.,None,40 MM Displayed,2,PC,No,No
45,"Disorderly Conduct, Vandalism",3:27 PM,No,35,M,White,Non-Hisp.,None,40 MM Displayed,1,PC,No,No
46,Assault with a Dangerous Weapon,10:08 PM,Yes,60,M,Black,Non-Hisp.,Alcohol,40 MM Displayed,1,Arrest,No,No
47,Section 12- Mental Health,5:47 PM,No,44,F,White,Non-Hisp.,None,Restrained to Hospital Bed,4,PC,No,No
48,Warrant Arrest,8:45 PM,No,20,M,White,Hispanic,"Alcohol, Drugs",Escort to Cruiser,1,Arrest,No,No
49,Disorderly Conduct,11:36 PM,No,56,F,White,Non-Hisp.,Alcohol,Arm Bar Take-Down,1,Arrest,No,No
50,Section 12- Mental Health,4:06 PM,No,39,M,White,Non-Hisp.,None,Firearm- Point/Aim at Human,3,PC,No,No
,,,,,,,,,40 MM Displayed,,,,
51,Possession of a Firearm,5:35 PM,No,45,M,White,Non-Hisp.,Drugs,Firearm- Point/Aim at Human,1,Arrest,No,No
52,Disturbance,1:33 AM,No,23,M,White,Non-Hisp.,None,Baton - Front Jab,1,No,No,No
53,Operating Under the Influence,3:38 AM,No,22,M,White,Non-Hisp.,Alcohol,Emergency Restraint Chair,1,Arrest,No,No
54,Shoplifting,10:15 AM,No,27,M,White,Non-Hisp.,None,Baton - Leverage Tool,4,Arrest,No,No
,,,,,,,,,OC Spray,,,,
,,,,,,,,,"Escort Position, Arm Bar Take-Down",,,,
55,Disorderly Conduct,6:20 PM,No,22,M,White,Non-Hisp.,Alcohol,Double Arm Bar Take-Down,2,Arrest,Cut on Forehead and Lip from Take Down,No
56,Protective Custody,4:13 AM,No,19,M,White,Non-Hisp.,Alcohol,Pinned Against Stockade to Immobilize,1,Arrest,No,No
57,Mental health,8:05 PM,No,17,M,White,Non-Hisp.,None,Foot Chase Tackle,2,PC,No,Head Laceration
58,Disorderly Conduct,3:26 PM,No,27,M,White,Non-Hisp.,Alcohol,Restrained Against Hopsital Bed,2,Arrest,No,No
59,Disorderly Conduct,1:20 AM,No,26,M,Black,Non-Hisp.,Alcohol,Baton - Front Jab,2,Arrest,No,No
,,,,,,,,,OC Spray,,,,
,,,,,,,,,Take Down,,,,
60,Disorderly Conduct,1:20 AM,No,23,M,Black,Non-Hisp.,Alcohol,Tackle,1,Arrest,No,No
61,Protective Custody,1:51 AM,No,23,M,White,Non-Hisp.,Alcohol,Arm Bar Take-Down,2,Arrest,No,No
62,Operating Under the Influence,2:45 AM,No,29,F,White,Non-Hisp.,Alcohol,Moved in the Escort Position,2,Arrest,No,No
63,Mental Health,4:49 AM,No,26,M,White,Non-Hisp.,Alcohol,40 MM Displayed,1,PC,No,No
64,Redacted*,5:44 AM,No,58,M,White,Non-Hisp.,"Alcohol, Drugs",Physical - Arm Bar Take-Down,2,Arrest,"Bruise, Cut on Head from Take Down",No
65,"Disorderly Conduct, Trespassing",10:16 PM,No,22,M,White,Non-Hisp.,Alcohol,Physical - Knee Strikes ,3,Arrest,No,No
,,,,,,,,,OC Spray,,,,
66,MV Charge,12:21 AM,No,41,M,White,Hispanic,Drugs,Take Down,3,Arrest,Minor Injuries from Take Down,"Strikes to Face, Bruises&Cuts"
67,"Breaking and Entering, Larceny",4:35 AM,No,30,M,Black,Non-Hisp.,Alcohol,Take Down,3,Arrest,No,No
,,,,,,,,,Firearm- Point/Aim at Human,,,,
68,Disturbing the Peace,3:00 PM,Yes,52,M,White,Hispanic,Alcohol,Rear Wrist Lock,2,Arrest,No,No
,,,,,,,,,Firearm- Point/Aim at Human,,,,
69,Unlicensed Operation,11:35 PM,No,21,M,White,Non-Hisp.,None,Forced Into Back Seat of Cruiser,2,Arrest,No,No
70,Disorderly Conduct,2:16 AM,Yes,43,M,White,Non-Hisp.,None,Baton - Side Horizontal Strike,3,Arrest,Broken Nose from Strike to the Face,No
,,,,,,,,,"Strike to the Face, Restrained on Couch",,,,
,,,,,,,,,40 MM Displayed,,,,
71,"Stolen Vehicle, MV Accident",1:50 PM,No,42,M,Black,Non-Hisp.,None,Firearm- Point/Aim at Human,2,Arrest,No,No
72,Disturbance,2:28 AM,No,23,F,White,Non-Hisp.,Alcohol,Arm Bar Take-Down,2,PC,No,No
73,Section 12- Mental Health,6:07 PM,No,29,F,White,Non-Hisp.,Alcohol,Take Down,2,PC,No,No
74,Disorderly Conduct,2:59 AM,Yes,34,M,Black,Non-Hisp.,"Alcohol, Drugs","Knee Strike, RestrainedLimbs, Take Down",5,Arrest,No,No
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,, 
,,,,,,,,,,,,,
