2014 Use of Force Data,,,,,,,,,,,,,
Event #,Call Type,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or Protective Custody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
49,Operating Under the Influence,2:18 AM,No,27,M,Black,Non - Hisp.,Alcohol,OC Spray,2,Arrest,OC Spray in Eyes,Shin Injury from Tackle
,,,,,,,,,"Escorted to Hood of Cruiser, Rear Wrist Lock",,,,
50,Redacted*,9:30 AM,No,14,F,Black,Non - Hisp.,No,"Limb Restraint, Moved in Escort Position",3,PC,No,No
51,"Failure to Stop MV, Stolen MV",7:01 PM,No,33,M,White,Non - Hisp.,Drugs,Firearm - Point / Aim,2,Arrest,No,No
52,Disorderly Conduct,8:49 AM,No,49,M,White,Non - Hisp.,Alcohol,"Placed on the Ground, Carried to Cruiser",2,Arrest,Cut/Abrasion on Shin from Take Down,No
53,Disturbance,6:18 PM,No,45,M,White,Non - Hisp.,Drugs,"Arm Bar Take-Down, Wrist Lock",1,PC,Cut on Forehead from Take Down,"Bruised Left Hand, Swelled Finger from Take Down"
54,Disorderly Conduct,1:49 PM,No,60,M,White,Non - Hisp.,Alcohol,OC Spray,2,Arrest,Facial Abrasions from Take Down ,Facial Blood Exposure from Subject's Face Abrasion
,,,,,,,,,Arm Bar Take-Down,,,,
55,Assaultive Patient,7:46 AM,No,24,M,White,Non - Hisp.,No,Pinned and Restrained to Hospital Bed,3,PC,No,No
56,Shoplifting,1:07 PM,No,39,M,White,Non - Hisp.,Alcohol,Foot Chase Tackle,1,Arrest,No,No
57,Intoxicated Person,5:00 PM,No,24,M,White,Non - Hisp.,Alcohol,"Wrist Lock, Pushed Against Wall",1,Arrest,No ,No
58,Disorderly Conduct,12:01 AM,No,21,M,White,Non - Hisp.,Alcohol,Tackled,1,Arrest,Complaint of Pain from Tackle,No
59,Section 12,8:12 PM,No,51,M,White,Non - Hisp.,No,Double Arm Bar Take-Down,2,PC,No,No
60,Section 12,9:03 AM,No,81,M,White,Non - Hisp.,No,Arm Bar Take-Down,1,PC,No,No
61,Section 12,5:35 PM,No,34,F,White,Non - Hisp.,No,"Take Down, Leg Restrained",3,PC,No,No
62,OUI,1:50 AM,No,26,M,White,Non - Hisp.,"Alcohol, Drugs ","Rear Wrist Lock, Pinned Against Wall",1,Arrest,No,No
63,Section 12,10:14 PM,No,15,F,White,Non - Hisp.,No,Moved in Escort Position,2,PC,No,No
64,Open Container,5:00 PM,No,40,M,Black,Non - Hisp.,Alcohol,"Tackled When Fleeing, Limb Restraint, Knee to Back",5,Arrest,No,No
,,,,,,,,,Emergency Restraint Chair,,,,
65,Failure to Stop MV,1:45 PM,No,22,M,White,Hispanic,No,Firearm - Point / Aim,2,Arrest,No,No
66,Section 12,8:42 PM,No,34,M,White,Non - Hisp.,Drugs,"Arms Restrained, Carried to Wheelchair",2,PC,No,No
67,Disturbance,8:43 AM,No,18,M,White,Hispanic,No,"Rear Wrist Lock, Pinned Against Wall",1,Arrest,"Abrasion on Cheek, Left Wrist Sore",No
68,Redacted*,12:03 AM,No,24,M,White,Non - Hisp.,Alcohol,"Upward Hand Strike, Moved in Escort Position",2,Arrest,No,No
69,Redacted*,4:02 PM,No,43,M,White,Non - Hisp.,Alcohol,Forced to Cruiser,1,Arrest,No,No
70,Section 12,6:09 PM,No,49,F,Asian,Non - Hisp.,No,"Limb Restraint, Restrained on Couch",2,PC,No,No
71,Section 12,9:47 PM,No,51,M,White,Non - Hisp.,No,Double Arm Bar Take-Down,2,PC,No,No
72,Assault and Battery,2:00 AM,No,46,M,Black,Non - Hisp.,Alcohol,Firearm - Point / Aim,2,Arrest,No,No
