2017 Use of Force Data,,,,,,,,,,,,,
Event #,Incident Type/Charges,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
96,"Kidnapping, Felony Motor Vehicle Stop",12:06 PM,No,40,F,Black,Non-hisp,No,"Firearm Display, Point at Human",4,No,No,No
97,Armed Home Invasion,2:48 PM,BB gun,19,M,White,Non-hisp,Drugs,"Firearm Display, Point at Human",5,Arrest,No,No
98,4 Car MVC,12:16 PM,No,53,F,White,Non-hisp,Other,"Firearm Display, Point at Human",3,No,No,No
99,Disturbance w/ Armed Party ,7:17 PM,Gun,30,M,White,Non-hisp,No,"Firearm Display, Point at Human",2,No,No,No
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
