2016 Use of Force Data,,,,,,,,,,,,,
Event #,Call Type,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
47,Section 12- Mental Health,6:12 PM,No,64,M,White,Non-Hisp.,None,Non-Compliant Escort Position,2,PC,No,No
48,Section 12- Mental Health,7:40 AM,No,44,F,White,Non-Hisp.,Drugs,Rear Wrist Lock,2,PC,No,No
49,Section 12- Mental Health,12:15 AM,No,57,F,White,Non-Hisp.,Alcohol,Non-Compliant Escort Position,2,PC,No,No
50,Protective Custody,10:44 PM,No,57,F,White,Non-Hisp.,Alcohol,"Rear Wrist Lock, Non-Compliant Escort Position",3,PC,Marks from handcuffs,No
51,"Disorderly, Resisting Arrest, Assault&Battery on a Police Officer",2:04 AM,No,34,M,Black,Non-Hisp.,Alcohol,"O.C. Spray, Arm Bar Take-Down, Non-Compliant Escort Position",2,Arrest,No,No
52,Redacted*,11:07 AM,No,*,M,White,Non-Hisp.,None,Firmly Held Right Arm to Prevent Escape,1,PC,No,No
53,"Disturbing the Peace, Resisting Arrest",8:06 AM,No,38,F,White,Non-Hisp.,Alcohol,"Rear Wrist Lock, Non-Compliant Escort Position",2,Arrest,No,No
54,Medical Emergency,5:09 AM,No,50,M,Hispanic,Hispanic,None,Body Restrained,2,PC,No,No
55,Warrant Arrest,9:40 AM,No,50,F,Black,Non-Hisp.,Alcohol,"Rear Wrist Lock, Non-Compliant Escort Position",2,Arrest,No,No
56,"Disorderly Conduct, Resisting Arrest",12:04 AM,No,25,M,Hispanic,Hispanic,Alcohol,"Physical Force, Peroneal Knee Strike",2,Arrest,No,No
57,Redacted*,2:00 PM,No,15,F,White,Non-Hisp.,None,Rear Wrist Lock,1,PC,No,No
58,"Resisting Arrest, Disorderly Conduct, Poss w/ Intent Class B, Consp to Violate Drug Law",2:56 AM,No,26,F,White,Non-Hisp.,Alcohol,Double Rear Wrist Lock,2,Arrest,No,No
59,"Disorderly Conduct, Resist Arrest, Open Container",4:13 PM,No,45,M,Hispanic,Hispanic,Alcohol,Arm Bar Take-Down,2,Arrest,"Yes, minor scratches on hands",No
60,"OUI Liquor, OUI Drugs, Leave Scene of Property Damage, Resisting Arrest",1:48 AM,No,27,M,White,Non-Hisp.,"Alcohol, Drugs","Pulled From Scaling Fence, Rear Wrist Lock",1,Arrest,Lacerations from chainlink fence,Lacerations From chainlink fence
61,"Disorderly Conduct, Resisting Arrest",10:12 AM,No,56,M,White,Non-Hisp.,None,"Defensive Leg Kick, Body Restrained",2,Arrest,Facial lacerations,No
62,"Disorderly Conduct, Domestic Disturbance Investigation",3:50 PM,No,58,M,Hispanic,Hispanic,None,"Physical Force, Arm Bar Take-Down",2,Arrest,No,No
63,Possession of Class B,2:35 AM,No,31,F,White,Non-Hisp.,Drugs,"Physical Force, Rear Wrist Lock",2,Arrest,Right shoulder pain,No
64,"Possession of Class A, Disorderly Conduct, Resisting Arrest",6:28 PM,No,26,M,White,Non-Hisp.,None,Forced arms into handcuff position,1,Arrest,Abrasions to Forehead and Hands,No
65,Disorderly Conduct,1:00 AM,No,19,M,White,Non-Hisp.,Alcohol,"Physical Force, Body Restrained",1,Arrest,Self-Inflicted cut on bridge of nose,No
66,"Warrant, Resisting Arrest, Assault&Battery on a Police Officer, Disorderly Conduct",1:41 AM,No,44,F,Black,Non-Hisp.,Alcohol,"Physical Force, Body Restrained",2,Arrest,Cut on lip,No
67,Trespass,12:52 AM,No,56,M,White,Non-Hisp.,Alcohol,Baton Wrist Lock,1,Arrest,No,No
68,Disorderly Conduct & Resisting Arrest,1:42 AM,No,*,M,White,Non-Hisp.,Alcohol,Baton,2,No,No,No
69,Disorderly Conduct & Resisting Arrest,1:42 AM,No,*,M,Black,Non-Hisp.,Alcohol,Baton,2,No,No,No
70,Redacted*,2:00 PM,No,*,F,White,Non-Hisp.,None,Baton Support Arm Lock,1,PC,No,No
71,Disorderly Conduct,4:12 AM,No,35,M,White,Non-Hisp.,Drugs,"Baton Arm Lock, O.C. Spray, Physical Force",3,Arrest,"Self-Inflicted scrapes on torso, arms, and face",No
72,"Traffic Stop, Larceny Over, Aggravated Shoplifting",11:06 AM,No,31,M,Black,Non-Hisp.,None,Firearm Displayed,2,Arrest,No,No
73,Self-Infliected Knife Wound,7:55 PM,Yes,53,M,White,Non-Hisp.,Alcohol,Firearm Displayed,1,PC,Self-Inflicted Knife Wound,No
74,Reported Firearm Possession,12:52 AM,No,19,M,Hispanic,Hispanic,None,Firearm Displayed,1,Arrest,No,No
75,Report of Fight With Possible Weapon Involvement,5:46 AM,Yes,24,M,Hispanic,Hispanic,None,Firearm Displayed,3,Arrest,No,No
76,Suspect Threatening People With Firearm,5:42 PM,Yes,32,M,Hispanic,Hispanic,None,Firearm Displayed,3,Arrest,No,No
77,"Disorderly Conduct, Carrying Dangerous Weapon",5:10 PM,Yes,31,M,White,Non-Hisp.,Alcohol,Firearm Displayed,2,Arrest,No,No
78,Domestic Disturbance,7:51 AM,No,29,M,White,Non-Hisp.,None,Firearm Displayed,2,No,No,No
79,"Disorderly Conduct, Carrying Dangerous Weapon",9:54 PM,Yes,27,M,Black,Non-Hisp.,Alcohol,"Firearm Displayed, Physical Force",3,Arrest,Ankle injury from prior fight; face and arm lacerations.,No
80,"Section 12- Mental Health, Reported Self-Inflicted Gun Shot Wound",2:43 PM,Yes,40,M,White,Non-Hisp.,"Alcohol, Drugs",Firearm Displayed,3,PC,No,No
81,Fail to Stop for Police,2:34 PM,No,47,M,Black,Non-Hisp.,None,Firearm Displayed,2,Arrest,No,No
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
