"Event","District","Nature","How_Received","Date","Time","Force_Level","Suspect_Condition","Suspect_Armed","Suspect_Injured","Suspect_Role","Officer_Injured","Officer_Exposed_to_BBP","Suspect_Gender","Suspect_Age","Suspect_Race"
"B16-18270","4.0","Burglary","Telephone","2016-05-13T00:00:00","19:00:00","1","Mentally Disturbed","NO","NO","Mentioned","NO","NO","Male","48","White"
"B16-18389","3.0","Warrant Service","Telephone","2016-05-14T00:00:00","15:48:00","2","Mentally Disturbed","YES","YES","Arrestee","NO","NO","Male","43","White"
"B16-18389","3.0","Warrant Service","Telephone","2016-05-14T00:00:00","15:48:00","1","Normal","NO","NO","Involved","NO","NO","Female","33","White"
"B16-19084","2.0","Suspicious Activity","Telephone","2016-05-19T00:00:00","21:24:00","2","Intoxicated","NO","YES","Suspect","YES","YES","Male","22","White"
"B16-20025","4.0","Mental Health","911.0","2016-05-26T00:00:00","13:20:00","1","Mentally Disturbed","NO","YES","Mentioned","NO","NO","Female","20","White"
"B16-20292","1.0","Fight","911.0","2016-05-28T00:00:00","02:42:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Female","22","Black"
"B16-20605","5.0","Disturbance","Telephone","2016-05-31T00:00:00","23:50:00","1","Mentally Disturbed/Intoxicated","NO","NO","Arrestee","NO","NO","Male","18","White"
"B16-20610","5.0","Follow Up","Telephone","2016-05-31T00:00:00","00:31:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","22","Black"
"B16-20833","5.0","Warrant Service","Telephone","2016-06-01T00:00:00","15:27:00","1","Intoxicated/Mentally Disturbed","NO","NO","Arrestee","NO","NO","Female","30","White"
"B16-21102","5.0","Burglary","Telephone","2016-06-03T00:00:00","11:00:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","31","White"
"B16-21225","5.0","Disturbance","911.0","2016-06-04T00:00:00","01:34:00",NA,"Normal","NO","NO","Involved","NO","NO","Male","18","Black"
"B16-21225","5.0","Disturbance","911.0","2016-06-04T00:00:00","01:34:00","1","Normal","NO","YES","Arrestee","NO","NO","Male","22","Black"
"B16-21294","1.0","Disturbance","Telephone","2016-06-04T00:00:00","16:42:00","1","Mentally Disturbed","NO","NO","Arrestee","NO","NO","Female","46","White"
"B16-21295","1.0","Fight","Telephone","2016-06-04T00:00:00","16:53:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","59","White"
"B16-21435","2.0","Domestic","Telephone","2016-06-05T00:00:00","19:12:00","1","Normal","NO","NO","Suspect","NO","NO","Female","23","White"
"B16-21435","2.0","Domestic","Telephone","2016-06-05T00:00:00","19:12:00","1","Normal","NO","NO","Victim","NO","NO","Male","26","White"
"B16-21871","2.0","CIRT","Telephone","2016-06-08T00:00:00","21:21:00","1","Normal","YES","NO","Unknown","NO","NO","Male","49","Black"
"B16-22068","4.0","Accident LSA","Telephone","2016-06-10T00:00:00","06:00:00","1","Mentally Disturbed","NO","NO","Involved","NO","NO","Female","26","White"
"B16-22300","3.0","Domestic","Telephone","2016-06-11T00:00:00","21:25:00","1","Unknown","NO","NO","Arrestee","NO","NO","Male","21","White"
"B16-22356","1.0","Fight","Telephone","2016-06-12T00:00:00","05:32:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","26","Black"
"B16-22477","2.0","Weapons","Telephone","2016-06-13T00:00:00","04:55:00","1","Normal","YES","NO","Involved","NO","NO","Male","36","White"
"B16-23317","5.0","Welfare Check","Telephone","2016-06-19T00:00:00","04:32:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","37","White"
"B16-23325","4.0","Warrant Service","Telephone","2016-06-19T00:00:00","23:24:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","26","White"
"B16-23403","1.0","Theft","Telephone","2016-06-19T00:00:00","15:55:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","27","White"
"B16-23442","5.0","Warrant Service","Officer Report","2016-06-19T00:00:00","22:31:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","27","White"
"B16-23461","5.0","Fight","911.0","2016-06-20T00:00:00","00:56:00","1","Unknown","NO","NO","Juv Referral","YES","NO","Male","15","Black"
"B16-23871","4.0","ATL","Telephone","2016-06-22T00:00:00","20:24:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Female","50","White"
"B16-24278","4.0","Theft","Telephone","2016-06-22T00:00:00","20:02:00","1","Intoxicated","NO","NO","Arrestee/Suspect","NO","NO","Male","27","White"
"B16-23909","4.0","Disturbance","911.0","2016-06-23T00:00:00","03:02:00","1","Intoxicated","YES","NO","Mentioned","NO","NO","Male","39","White"
"B16-24881","2.0","Suspicious Activity","Telephone","2016-06-29T00:00:00","22:36:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","30","White"
"B16-24607","MCSO","Assault","Telephone","2016-06-30T00:00:00","15:30:00","1","Normal","NO","NO","Juv Referral","YES","NO","Female","17","White"
"B16-24607","MCSO","Assault","Telephone","2016-06-30T00:00:00","15:30:00",NA,"Normal","NO","NO","Arrestee","NO","NO","Male","19","Black"
"B16-24951","3.0","Drugs","Telephone","2016-06-30T00:00:00","10:34:00","1","Normal","NO","NO","Unknown","NO","NO","Female","17","Black"
"B16-25013","5.0","Disturbance","911.0","2016-06-30T00:00:00","18:52:00","1","Intoxicated","YES","NO","Suspect","NO","NO","Male","23","White"
"B16-25577","4.0","Service","Telephone","2016-07-04T00:00:00","00:05:00","2","Intoxicated","NO","YES","Arrestee","NO","YES","Male","19.0","White"
"B16-25322","1.0","Assault","Telephone","2016-07-05T00:00:00","18:35:00","1","Normal","YES","NO","Arrestee","NO","NO","Male","19.0","Black"
"B16-25600","1.0","Suspicious Activity","Officer Report","2016-07-05T00:00:00","05:05:00","1","Normal","NO","NO","Arrestee","YES","NO","Male","18.0","White"
"B16-25830","2.0","Drugs","Officer Report","2016-07-08T00:00:00","11:50:00","1","Normal","NO","NO","Mentioned","NO","NO","Female","24.0","White"
"B16-25830","2.0","Drugs","Officer Report","2016-07-08T00:00:00","11:50:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","22.0","White"
"B16-25830","2.0","Drugs","Officer Report","2016-07-08T00:00:00","11:50:00","1","Normal","NO","NO","Mentioned","NO","NO","Male","23.0","White"
"B16-26061","5.0","Traffic Stop","Officer Report","2016-07-08T00:00:00","13:41:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","21.0","White"
"B16-26172","3.0","Welfare Check","Telephone","2016-07-09T00:00:00","04:31:00","1","Mentally Disturbed","YES","NO","Arrestee","NO","NO","Male","25.0","Black"
"B16-26209","4.0","Welfare Check","Telephone","2016-07-09T00:00:00","14:55:00","1","Normal","NO","NO","Arrestee","NO","NO","Female","25.0","White"
"B16-26375","5.0","Warrant Service","Telephone","2016-07-10T00:00:00","22:55:00","1","Mentally Disturbed","YES","NO","Arrestee","NO","NO","Male","25.0","White"
"B16-26466","1.0","Indecent Exp","Officer Report","2016-07-11T00:00:00","16:15:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","39.0","White"
"B16-26543","1.0","Weapons","Telephone","2016-07-12T00:00:00","05:00:00","1","Mentally Disturbed","YES","NO","Suspect","NO","NO","Male","59.0","White"
"B16-26687","5.0","Domestic","Telephone","2016-07-13T00:00:00","15:36:00","1","Normal","NO","NO","Suspect/Arrestee","NO","NO","Male","50.0","Black"
"B16-26701","5.0","Burglary","911.0","2016-07-13T00:00:00","03:56:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","27.0","White"
"B16-27021","1.0","Drunk","911.0","2016-07-15T00:00:00","03:45:00","1","Intoxicated","NO","NO","Arrestee","NO","YES","Male","49.0","White"
"B16-27290","3.0","Suspicious Activity","Telephone","2016-07-16T00:00:00","20:49:00","1","Intoxicated","NO","NO","Involved","NO","NO","Male","19.0","White"
"B16-27327","1.0","Weapons","911.0","2016-07-17T00:00:00","01:25:00","1","Intoxicated","NO","YES","Arrestee","YES","YES","Male","27.0","White"
"B16-27560","4.0","Service","Telephone","2016-07-18T00:00:00","20:36:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","35.0","White"
"B16-27746","1.0","Assigned Detail","Telephone","2016-07-19T00:00:00","03:30:00","1","Normal","YES","NO","Arrestee","NO","NO","Male","47.0","White"
"B16-27746","1.0","Assigned Detail","Telephone","2016-07-19T00:00:00","01:00:00","1","Mentally Disturbed","YES","NO","Mentioned","NO","NO","Male","31.0","White"
"B16-27759","1.0","Welfare Check","Telephone","2016-07-20T00:00:00","01:29:00","1","Intoxicated/Mentally Disturbed","NO","NO","Involved","NO","NO","Male","31.0","White"
"B16-27826","3.0","Service","Telephone","2016-07-20T00:00:00","12:30:00","1","Unknown","YES","NO","Arrestee","NO","NO","Male","38.0","White"
"B16-28118","1.0","Theft","Telephone","2016-07-22T00:00:00","05:32:00","1","Normal","YES","NO","Mentioned","NO","NO","Male","24.0","White"
"B16-28307","4.0","Accident","911.0","2016-07-23T00:00:00","15:08:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","47.0","White"
"B16-28665","1.0","Fight","911.0","2016-07-25T00:00:00","23:50:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","55.0","White"
"B16-28792","5.0","Warrant Service","Telephone","2016-07-26T00:00:00","22:30:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","29.0","Black"
"B16-29526","5.0","Weapons","911.0","2016-08-01T00:00:00","02:41:00","1","Normal","NO","NO","Mentioned","NO","NO","Female","20.0","White"
"B16-29526","5.0","Weapons","911.0","2016-08-01T00:00:00","02:41:00","1","Intoxicated","YES","NO","Arrestee","NO","NO","Male","28.0","White"
"B16-29766","2.0","Domestic","Telephone","2016-08-02T00:00:00","14:28:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","47.0","White"
"B16-30045","3.0","Alarm","Telephone","2016-08-04T00:00:00","04:59:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","20.0","White"
"B16-30056","5.0","Panhandling","Telephone","2016-08-04T00:00:00","07:11:00","1","Mentally Disturbed","NO","NO","Arrestee","NO","NO","Male","31.0","White"
"B16-30185","3.0","Suspicious Activity","Officer Report","2016-08-04T00:00:00","23:45:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Male","22.0","White"
"B16-30377","3.0","Assault","911.0","2016-08-06T00:00:00","06:00:00","1","Normal","NO","NO","Contact","NO","NO","Male","26.0","White"
"B16-30377","3.0","Assault","911.0","2016-08-06T00:00:00","06:00:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","27.0","White"
"B16-30377","3.0","Assault","911.0","2016-08-06T00:00:00","06:00:00","1","Normal","NO","NO","Contact","NO","NO","Female","26.0","White"
"B16-30377","3.0","Assault","911.0","2016-08-06T00:00:00","06:00:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","49.0","Black"
"B16-30377","3.0","Assault","911.0","2016-08-06T00:00:00","06:00:00","1","Normal","NO","NO","Arrestee","NO","NO","Female","29.0","Black"
"B16-30445","5.0","Burglary","Telephone","2016-08-06T00:00:00","15:48:00","1","Normal","NO","NO","Involved","NO","NO","Male","49.0","White"
"B16-30587","1.0","Disturbance","Telephone","2016-08-07T00:00:00","21:00:00","1","Mentally Disturbed","YES","NO","Involved","NO","NO","Male","38.0","White"
"B16-30870","4.0","Robbery","911.0","2016-08-09T00:00:00","16:03:00","1","Normal","YES","NO","Mentioned","NO","NO","Male","45.0","Black"
"B16-31181","1.0","Suspicious Activity","Officer Report","2016-08-11T00:00:00","22:43:00","1","Intoxicated","NO","NO","Arrestee","NO","NO","Female","43.0","White"
"B16-31351","1.0","Fight","911.0","2016-08-12T00:00:00","20:44:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","19.0","White"
"B16-31635","2.0","Welfare Check","Telephone","2016-08-14T00:00:00","16:45:00","1","Mentally Disturbed","NO","NO","Involved","NO","NO","Male","90.0","Asian/Pacific Islander"
"B16-31782","5.0","Burglary","Telephone","2016-08-15T00:00:00","18:02:00","1","Normal","NO","NO","Involved","NO","NO","Male","25.0","White"
"B16-31782","5.0","Burglary","Telephone","2016-08-15T00:00:00","18:02:00","1","Normal","NO","NO","Involved","NO","NO","Male","30.0","White"
"B16-31782","5.0","Burglary","Telephone","2016-08-15T00:00:00","18:02:00","1","Normal","NO","NO","Involved","NO","NO","Male","27.0","White"
"B16-31782","5.0","Burglary","Telephone","2016-08-15T00:00:00","18:02:00","1","Normal","NO","NO","Involved","NO","NO","Female","26.0","White"
"B16-31805","5.0","Warrant Service","Telephone","2016-08-15T00:00:00","21:00:00","1","Normal","NO","NO","Arrestee","NO","NO","Male","39.0","White"
"B16-32038","3.0","Weapons","911.0","2016-08-16T00:00:00","22:30:00","1","Normal","YES","NO","Victim","NO","NO","Female","28.0","Black"
"B16-32170","1.0","Disturbance","Telephone","2016-08-17T00:00:00","14:52:00","1","Intoxicated","NO","YES","Arrestee","NO","NO","Male","58.0","White"
