_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Drew Less Lethal,Drew Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
26,B20-29299,3.0,DISTURBANCE,TELEPHONE,2020-08-16T00:00:00,03:11:00,Yes,No,No,No,No,No,No,UNKNOWN,No,No,ARRESTEE,No,No,1,,28,,"",1,"","","","",""
27,B20-29336,4.0,VEHICLE THEFT NP,TELEPHONE,2020-08-16T00:00:00,20:18:00,No,No,No,Yes,No,No,No,NORMAL,No,No,ARRESTEE,No,No,,1,30,,"",1,"","","","",""
28,B20-29486,4.0,DOMESTIC,TELEPHONE,2020-08-17T00:00:00,21:07:00,No,No,No,Yes,No,No,No,NORMAL,Yes,No,OFFENDER,No,No,,1,35,1,"",,"","","","",""
29,B20-29741,4.0,DOMESTIC,911 LINE,2020-08-19T00:00:00,18:07:00,Yes,No,No,No,No,No,No,NORMAL,No,No,ARRESTEE,No,No,1,,29,1,"",,"","","","",""
30,B20-30015,1.0,INFORMATION,OFFICER REPORT,2020-08-21T00:00:00,23:32:00,Yes,No,No,Yes,No,No,No,NORMAL,No,No,INVOLVED,No,No,,1,40,1,"",,"","","","",""
31,B20-30042,1.0,DISTURBANCE,TELEPHONE,2020-08-21T00:00:00,14:41:00,Yes,No,No,No,No,No,No,MENTALLY DISTURBED,No,No,ARRESTEE,Yes,No,,1,30,,"",1,"","","","",""
32,B20-30436,2.0,WEAPONS,TELEPHONE,2020-08-23T00:00:00,01:00:00,Yes,No,No,No,No,No,No,MENTALLY DISTURBED,No,No,OFFENDER,No,No,,1,31,1,"",,"","","","",""
33,B20-31216,3.0,DISTURBANCE,911 LINE,2020-08-29T00:00:00,23:30:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,No,1,,38,1,"",,"","","","",""
34,B20-31661,COUNTY,WARRANT SERVICE,OFFICER REPORT,2020-09-02T00:00:00,16:08:00,No,No,No,Yes,No,Yes,Yes,NORMAL,No,No,ARRESTEE,No,No,,1,36,1,"",,"","","","",""
35,B20-31722,1.0,WEAPONS,TELEPHONE,2020-09-03T00:00:00,05:17:00,No,No,Yes,No,No,No,No,INTOXICATED,Yes,No,OFFENDER,No,No,,1,35,1,"",,"","","","",""
36,B20-31980,4.0,WEAPONS,911 LINE,2020-09-05T00:00:00,01:50:00,Yes,No,No,No,No,No,No,INTOXICATED,Yes,No,ARRESTEE,No,No,,1,32,1,"",,"","","","",""
37,B20-32220,5.0,RUNAWAY,TELEPHONE,2020-09-06T00:00:00,22:20:00,Yes,No,No,No,No,No,Yes,NORMAL,No,No,JUVENILE REFERRAL,No,No,1,,16,1,"",,"","","","",""
38,B20-32754,4.0,TRESPASS,TELEPHONE,2020-09-11T00:00:00,12:24:00,No,No,No,No,No,No,No,MENTALLY DISTRUBED,No,No,ARRESTEE,No,No,,1,30,1,"",,"","","","",""
39,B20-32772,4.0,WELFARE CHECK,911 LINE,2020-09-11T00:00:00,14:19:00,Yes,No,No,No,No,Yes,Yes,NORMAL,No,No,ARRESTEE,No,No,1,,18,1,"",,"","","","",""
40,B20-32826,1.0,FIGHT IP,911 LINE,2020-09-11T00:00:00,21:27:00,No,No,No,No,No,No,Yes,NORMAL,Yes,No,INVOLVED,No,No,,1,21,1,"",,"","","","",""
41,B20-31682,3.0,RUNAWAY,TELEPHONE,2020-09-13T00:00:00,15:53:00,Yes,No,No,No,No,No,No,NORMAL,No,No,JUVENILE REFERRAL,No,No,1,,14,1,"",,"","","","",""
42,B20-33072,3.0,JUVENILE,911 LINE,2020-09-13T00:00:00,13:57:00,Yes,No,No,No,No,No,No,MENTALLY DISTRUBED,No,No,INVOLVED,No,No,,1,7,1,"",,"","","","",""
43,B20-33275,4.0,DOMESTIC,911 LINE,2020-09-15T00:00:00,02:21:00,Yes,No,No,No,No,No,No,MENTALLY DISTURBED,No,No,OFFENDER,No,No,1,,62,1,"",,"","","","",""
44,B20-34100,4.0,TRESPASS,TELEPHONE,2020-09-20T00:00:00,16:27:00,Yes,No,No,No,No,No,No,INTOXICATED,No,No,ARRESTEE,No,No,,1,38,1,"",,"","","","",""
45,B20-34728,3.0,SUSPICIOUS ,TELEPHONE,2020-09-25T00:00:00,07:56:00,Yes,No,No,Yes,No,No,Yes,NORMAL,No,No,ARRESTEE,No,No,,1,28,1,"",,"","","","",""
46,B20-34733,1.0,ASSAULT,911 LINE,2020-09-25T00:00:00,08:56:00,Yes,No,No,No,No,No,No,MENTALLY DISTURBED,No,No,OFFENDER,No,No,1,,12,1,"",,"","","","",""
47,B20-34805,5.0,MISSING PERSON,TELEPHONE,2020-09-25T00:00:00,19:32:00,Yes,No,No,No,No,No,No,MENTALLY DISTRUBED,No,No,OFFENDER,No,No,,1,7,1,"",,"","","","",""
48,B20-34874,2.0,WEAPONS,911 LINE,2020-09-26T00:00:00,05:04:00,No,No,Yes,Yes,No,No,No,INTOXICATED,Yes,No,INVOLVED,No,No,,1,20,1,"",,"","","","",""
49,B20-34948,1.0,DISTURBANCE,911 LINE,2020-09-26T00:00:00,20:45:00,Yes,No,No,No,No,No,No,NORMAL,No,No,ARRESTEE,No,No,,1,26,,"",1,"","","","",""
50,B20-35224,4.0,WELFARE CHECK,911 LINE,2020-09-28T00:00:00,22:51:00,No,No,No,Yes,No,No,No,INTOXICATED,Yes,No,ARRESTEE,No,No,,1,27,,"",1,"","","","",""
