_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
54,B16-49431,4,Suspicious Activity,Officer Report,2016-12-12 00:00:00,22:30:00,NO,NO,YES,NO,YES,NO,Normal,NO,NO,Arrestee,YES,YES,,1,34,1,,,"","","","",""
55,B16-50253,4,Burglary,911.0,2016-12-20 00:00:00,03:12:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,23,1,,,"","","","",""
56,B16-50253,4,Burglary,911.0,2016-12-20 00:00:00,03:12:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,53,1,,,"","","","",""
57,B16-50294,3,Stabbing,911.0,2016-12-20 00:00:00,13:47:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,48,1,,,"","","","",""
58,B16-50574,5,Vandalism,911.0,2016-12-22 00:00:00,23:47:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,NO,NO,Arrestee,NO,YES,,1,29,1,,,"","","","",""
59,B16-50785,2,Domestic,911.0,2016-12-25 00:00:00,02:13:00,NO,NO,YES,NO,YES,NO,Unknown,NO,NO,Arrestee,NO,NO,,1,35,1,,,"","","","",""
60,B16-50826,3,Warrant Service,Telephone,2016-12-25 00:00:00,23:30:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,28,1,,,"","","","",""
61,B16-51003,3,Weapons,911.0,2016-12-28 00:00:00,23:24:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,26,1,,,"","","","",""
62,B16-51034,5,Domestic,911.0,2016-12-28 00:00:00,1902-04-03 00:00:00,NO,YES,NO,NO,NO,NO,Normal,NO,YES,Arrestee,YES,NO,,1,23,,,1,"","","","",""
63,B16-41004,3,Intoxicated Driver,Telephone,1012/16,23:12:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,30,1,,,"","","","",""
