_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
46,B16-18270,4.0,Burglary,Telephone,2016-05-13T00:00:00,19:00:00,NO,NO,YES,NO,NO,NO,Mentally Disturbed,NO,NO,Mentioned,NO,NO,,1,48,1,,,"","","",,""
47,B16-18389,3.0,Warrant Service,Telephone,2016-05-14T00:00:00,15:48:00,NO,YES,YES,NO,NO,NO,Mentally Disturbed,YES,YES,Arrestee,NO,NO,,1,43,1,,,"","","",,""
48,B16-18389,3.0,Warrant Service,Telephone,2016-05-14T00:00:00,15:48:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Involved,NO,NO,1,,33,1,,,"","","",,""
49,B16-19084,2.0,Suspicious Activity,Telephone,2016-05-19T00:00:00,21:24:00,YES,YES,NO,NO,NO,NO,Intoxicated,NO,YES,Suspect,YES,YES,,1,22,1,,,"","","",,""
50,B16-20025,4.0,Mental Health,911.0,2016-05-26T00:00:00,13:20:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,NO,YES,Mentioned,NO,NO,1,,20,1,,,"","","",,""
51,B16-20292,1.0,Fight,911.0,2016-05-28T00:00:00,02:42:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,YES,Arrestee,NO,NO,1,,22,,,1,"","","",,""
52,B16-20605,5.0,Disturbance,Telephone,2016-05-31T00:00:00,23:50:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed/Intoxicated,NO,NO,Arrestee,NO,NO,,1,18,1,,,"","","",,""
53,B16-20610,5.0,Follow Up,Telephone,2016-05-31T00:00:00,00:31:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,22,,,1,"","","",,""
54,B16-20833,5.0,Warrant Service,Telephone,2016-06-01T00:00:00,15:27:00,YES,NO,NO,NO,NO,NO,Intoxicated/Mentally Disturbed,NO,NO,Arrestee,NO,NO,1,,30,1,,,"","","",,""
55,B16-21102,5.0,Burglary,Telephone,2016-06-03T00:00:00,11:00:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,31,1,,,"","","",,""
56,B16-21225,5.0,Disturbance,911.0,2016-06-04T00:00:00,01:34:00,NO,NO,NO,NO,NO,NO,Normal,NO,NO,Involved,NO,NO,,1,18,,,1,"","","",,""
57,B16-21225,5.0,Disturbance,911.0,2016-06-04T00:00:00,01:34:00,YES,NO,NO,NO,NO,NO,Normal,NO,YES,Arrestee,NO,NO,,1,22,,,1,"","","",,""
58,B16-21294,1.0,Disturbance,Telephone,2016-06-04T00:00:00,16:42:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,NO,NO,Arrestee,NO,NO,1,,46,1,,,"","","",,""
59,B16-21295,1.0,Fight,Telephone,2016-06-04T00:00:00,16:53:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,59,1,,,"","","",,""
60,B16-21435,2.0,Domestic,Telephone,2016-06-05T00:00:00,19:12:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Suspect,NO,NO,1,,23,1,,,"","","",,""
61,B16-21435,2.0,Domestic,Telephone,2016-06-05T00:00:00,19:12:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Victim,NO,NO,,1,26,1,,,"","","",,""
62,B16-21871,2.0,CIRT,Telephone,2016-06-08T00:00:00,21:21:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Unknown,NO,NO,,1,49,,,1,"","","",,""
63,B16-22068,4.0,Accident LSA,Telephone,2016-06-10T00:00:00,06:00:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,NO,NO,Involved,NO,NO,1,,26,1,,,"","","",,""
64,B16-22300,3.0,Domestic,Telephone,2016-06-11T00:00:00,21:25:00,YES,NO,NO,NO,NO,NO,Unknown,NO,NO,Arrestee,NO,NO,,1,21,1,,,"","","",,""
65,B16-22356,1.0,Fight,Telephone,2016-06-12T00:00:00,05:32:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,26,,,1,"","","",,""
66,B16-22477,2.0,Weapons,Telephone,2016-06-13T00:00:00,04:55:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Involved,NO,NO,,1,36,1,,,"","","",,""
67,B16-23317,5.0,Welfare Check,Telephone,2016-06-19T00:00:00,04:32:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,37,1,,,"","","",,""
68,B16-23325,4.0,Warrant Service,Telephone,2016-06-19T00:00:00,23:24:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,26,1,,,"","","",,""
69,B16-23403,1.0,Theft,Telephone,2016-06-19T00:00:00,15:55:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,YES,Arrestee,NO,NO,,1,27,1,,,"","","",,""
70,B16-23442,5.0,Warrant Service,Officer Report,2016-06-19T00:00:00,22:31:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,27,1,,,"","","",,""
71,B16-23461,5.0,Fight,911.0,2016-06-20T00:00:00,00:56:00,YES,NO,NO,NO,NO,NO,Unknown,NO,NO,Juv Referral,YES,NO,,1,15,,,1,"","","",,""
72,B16-23871,4.0,ATL,Telephone,2016-06-22T00:00:00,20:24:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,1,,50,1,,,"","","",,""
73,B16-24278,4.0,Theft,Telephone,2016-06-22T00:00:00,20:02:00,YES,NO,YES,NO,NO,YES,Intoxicated,NO,NO,Arrestee/Suspect,NO,NO,,1,27,1,,,"","","",,""
74,B16-23909,4.0,Disturbance,911.0,2016-06-23T00:00:00,03:02:00,NO,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Mentioned,NO,NO,,1,39,1,,,"","","",,""
75,B16-24881,2.0,Suspicious Activity,Telephone,2016-06-29T00:00:00,22:36:00,NO,NO,YES,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,30,1,,,"","","",,""
76,B16-24607,MCSO,Assault,Telephone,2016-06-30T00:00:00,15:30:00,YES,NO,YES,NO,NO,NO,Normal,NO,NO,Juv Referral,YES,NO,1,,17,1,,,"","","",,""
77,B16-24607,MCSO,Assault,Telephone,2016-06-30T00:00:00,15:30:00,NO,NO,NO,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,19,,,1,"","","",,""
78,B16-24951,3.0,Drugs,Telephone,2016-06-30T00:00:00,10:34:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Unknown,NO,NO,1,,17,,,1,"","","",,""
79,B16-25013,5.0,Disturbance,911.0,2016-06-30T00:00:00,18:52:00,NO,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Suspect,NO,NO,,1,23,1,,,"","","",,""
