Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B17-42396,4,DOMESTIC IP,911 LINE,10/15/2017,2:08,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,25,,,1,,,,,
B17-42615,4,FIGHT,OFFICER REPORT,10/16/2017,17:37,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,32,,,1,,,,,
B17-42814,4,TRAFFIC HAZARD,OFFICER REPORT,10/18/2017,2:36,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,20,1,,,,,,,
B17-42816,1,DISTURBANCE IP,911 LINE,10/18/2017,2:39,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,24,,,1,,,,,
B17-42926,4,DISTURBANCE IP ,TELEPHONE,10/18/2017,18:59,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,18,1,,,,,,,
B17-43044,4,WELFARE CHK IP,911 LINE,10/19/2017,14:04,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1,,53,1,,,,,,,
B17-43125,4,DISTURBANCE IP,TELEPHONE,10/20/2017,0:02,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,YES,ARRESTEE,NO,YES,1,,19,1,,,,,,,
B17-43135,1,BURGLARY NP,TELEPHONE,10/20/2017,1:39,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,16,1,,,,,,,
B17-43383,4,SERVICE IP,TELEPHONE,10/21/2017,18:16,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,49,1,,,,,,,
B17-43393,3,WELFARE CHK IP,TELEPHONE,10/21/2017,20:02,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,49,1,,,,,,,
B17-43450,3,DISTURBANCE IP,TELEPHONE,10/22/2017,2:23,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,41,1,,,,,,,
B17-43450,3,DISTURBANCE IP,TELEPHONE,10/22/2017,2:23,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,,,,,
B17-43450,3,DISTURBANCE IP,TELEPHONE,10/22/2017,2:23,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,36,1,,,,,,,
B17-43589,4,TRESPASS IP,911 LINE,10/23/2017,3:17,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B17-43801,5,DISTURBANCE IP,911 LINE,10/24/2017,19:05,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,23,1,,,,,,,
B17-44093,2,WELFARE CHK IP,TELEPHONE,10/26/2017,21:48,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,1,,19,1,,,,,,,
B17-44196,1,HARASSMENT IP,911 LINE,10/27/2017,13:41,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED,NO,NO,1,,53,1,,,,,,,
B17-44317,5,TRESPASS IP,911 LINE,10/28/2017,2:37,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,20,,1,,,,,,
B17-44437,5,WEAPONS IP,TELEPHONE,10/28/2017,22:38,NO,NO,YES,NO,NO,NO,UNKNOWN ,YES,NO,ARRESTEE,NO,NO,,1,30,1,,,,,,,
B17-44475,2,FIGHT IP,TELEPHONE,10/29/2017,1:54,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,20,1,,,,,,,
B17-44479,2,FIGHT IP,TELEPHONE,10/29/2017,2:06,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,,,,,
B17-44701,1,TRAFFIC STOP,OFFICER REPORT,10/30/2017,16:22,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,ARRESTEE,NO,NO,1,,45,1,,,,,,,
B17-44701,1,TRAFFIC STOP,OFFICER REPORT,10/30/2017,16:22,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,43,1,,,,,,,
B17-44701,1,TRAFFIC STOP,OFFICER REPORT,10/30/2017,16:22,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,52,1,,,,,,,
B17-44887,2,WARRANT SERVICE,OFFICER REPORT,10/31/2017,20:25,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,,,,,
B17-44900,5,DISTURBANCE ,TELEPHONE,10/31/2017,22:42,YES,NO,NO,NO,NO,YES,NORMAL,YES,NO,JUVENILE REFERRAL,NO,NO,,1,17,,,1,,,,,
B17-45156,3,DISTURBANCE IP ,TELEPHONE,11/2/2017,18:49,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,33,1,,,,,,,
B17-45238,4,SERVICE IP,TELEPHONE,11/3/2017,5:24,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,1,,34,1,,,,,,,
B17-45316,4,DOMESTIC IP,911 LINE,11/3/2017,15:21,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,39,1,,,,,,,
B17-45773,5,WELFARE CHK IP,TELEPHONE,11/6/2017,16:02,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED ,NO,NO,SUSPECT,YES,NO,,1,19,1,,,,,,,
B17-46025,5,ASSAULT NP,TELEPHONE,11/8/2017,15:36,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,JUVENILE REFERRAL,YES,NO,,1,17,,,1,,,,,
B17-46139,3,THEFT IP,OFFICER REPORT,11/9/2017,11:29,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,MENTIONED,NO,NO,,1,48,1,,,,,,,
B17-46713,5,FIGHT IP,TELEPHONE,11/13/2017,21:20,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,29,,,1,,,,,
B17-46741,1,SERVICE IP,911 LINE,11/14/2017,4:27,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,30,,,1,,,,,
B17-46749,4,WEAPONS IP,911 LINE,11/14/2017,6:15,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,34,1,,,,,,,
B17-47005,3,WELFARE CHK IP,911 LINE,11/15/2017,22:25,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,,,,,
B17-47594,4,SUSP ACT IP,TELEPHONE,11/20/2017,6:17,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,37,1,,,,,,,
B17-48093,4,THEFT NP,TELEPHONE,11/24/2017,14:16,YES,NO,NO,NO,NO,YES,NORMAL,NO,YES,JUVENILE REFERRAL,NO,NO,,1,17,,,1,,,,,
B17-48401,4,FOLLOW UP ,OFFICER REPORT,11/26/2017,23:23,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B17-48858,2,DISTURBANCE IP,TELEPHONE,11/30/2017,4:02,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,41,1,,,,,,,
B17-48970,4,WEAPONS IP,TELEPHONE,11/30/2017,22:27,NO,NO,YES,NO,YES,NO,UNKNOWN,YES,NO,VICTIM,NO,NO,,1,35,1,,,,,,,
B17-49350,5,WARRANT SERVICE,911 LINE,12/3/2017,12:24,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,,,,,
B17-49417,3,TRAFFIC STOP,OFFICER REPORT,12/3/2017,22:41,YES,NO,NO,NO,NO,YES,NORMAL,YES,NO,ARRESTEE,YES,NO,,1,18,,,1,,,,,
B17-49442,4,MENTAL HEALTH,911 LINE,12/4/2017,6:17,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED,NO,NO,,1,31,1,,,,,,,
B17-49684,4,DOMESTIC IP,TELEPHONE,12/5/2017,21:42,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,14,,,1,,,,,
B17-49820,4,WELFARE CHK IP,TELEPHONE,12/6/2017,20:20,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,52,1,,,,,,,
B17-49983,1,TRESPASS IP,TELEPHONE,12/7/2017,22:17,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,24,,,1,,,,,
B17-50528,4,SERVICE IP ,911 LINE,12/11/2017,20:48,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,SUSPECT,NO,YES,,1,66,1,,,,,,,
B17-51465,4,SUSP ACT IP,OFFICER REPORT,12/18/2017,18:19,YES,YES,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,26,1,,,,,,,
B17-51677,4,WARRANT SERVICE,TELEPHONE,12/20/2017,1:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,28,1,,,,,,,
B17-51805,5,SUSP ACT IP,OFFICER REPORT,12/20/2017,23:53,YES,NO,NO,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,YES,NO,,1,41,1,,,,,,,
B17-51806,3,DOMESTIC IP,911 LINE,12/21/2017,0:04,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,23,,,1,,,,,
B17-51988,3,ACCIDENT,911 LINE,12/22/2017,12:34,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,38,1,,,,,,,
B17-52046,3,SERVICE IP ,TELEPHONE,12/22/2017,21:29,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,,,1,,,,,
B17-52197,5,WEAPONS IP,911 LINE,12/24/2017,9:18,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,1,,45,1,,,,,,,
B17-52268,3,WARRANT SERVICE,TELEPHONE,12/24/2017,23:41,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,25,,,1,,,,,
B17-52197,5,WEAPONS IP,911,12/24/2017,9:18,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,25,1,,,,,,,
B17-52528,4,WARRANT SERVICE,TELEPHONE,12/27/2017,22:51,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,37,1,,,,,,,
B17-52528,4,WARRANT SERVICE,TELEPHONE,12/27/2017,22:51,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,,,,,
B17-52734,3,DISTURBANCE IP,TELEPHONE,12/29/2017,18:33,YES,NO,NO,NO,NO,NO,NORMAL,NO,YES,ARRESTEE,NO,NO,1,,38,1,,,,,,,
B17-52750,5,WEAPONS IP,911 LINE,12/29/2017,22:29,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,18,,1,,,,,,
B17-52757,4,DOMESTIC IP,911 LINE,12/30/2017,1:09,YES,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B17-52855,3,DOMESTIC IP,TELEPHONE,12/31/2017,1:10,NO,YES,YES,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B17-52928,4,DOMESTIC IP,TELEPHONE,12/31/2017,16:04,YES,NO,NO,NO,NO,NO,UNKNOWN,YES,NO,ARRESTEE,NO,NO,,1,41,1,,,,,,,
