_id,NAME,District,Nature,How Received,Date,Time,Physical Contact,Launch Projectile,Drew Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
11,B20-36556,4.0,BURGLARY,TELEPHONE,2020-10-08T00:00:00,23:02:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,YES,,1,49,1,,,"","",,"",""
12,B20-36784,3.0,ROBBERY,TELEPHONE,2020-10-10T00:00:00,08:12:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,42,1,,,"","",,"",""
13,B20-36803,5.0,ATL,911 LINE,2020-10-10T00:00:00,11:45:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,53,,,1,"","",,"",""
14,B20-37147,1.0,DISTURBANCE,TELEPHONE,2020-10-12T00:00:00,22:12:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,YES,ARRESTEE,NO,NO,,1,36,1,,,"","",,"",""
15,B20-37142,4.0,DOMESTIC,911 LINE,2020-10-13T00:00:00,11:00:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,25,,,1,"","",,"",""
16,B20-37188,3.0,BURGLARY,911 LINE,2020-10-13T00:00:00,09:45:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,34,1,,,"","",,"",""
17,B20-37197,2.0,WARRANT SERVICE,TELEPHONE,2020-10-13T00:00:00,22:29:00,YES,NO,NO,YES,NO,NO,YES,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,25,,,1,"","",,"",""
18,B20-37381,4.0,BURGLARY,911 LINE,2020-10-14T00:00:00,15:32:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,33,1,,,"","",,"",""
19,B20-37414,4.0,TRESPASS,TELEPHONE,2020-10-14T00:00:00,20:17:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,"","",,"",""
20,B20-37497,4.0,WELFARE CHECK,TELEPHONE,2020-10-15T00:00:00,14:33:00,YES,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,INVOLVED,NO,NO,,1,33,1,,,"","",,"",""
21,B20-37533,COUNTY,TRAFFIC STOP,OFFICER REPORT,2020-10-15T00:00:00,23:42:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,25,1,,,"","",,"",""
22,B20-37844,5.0,DOMESTIC,TELEPHONE,2020-10-18T00:00:00,03:54:00,YES,NO,YES,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,30,,,1,"","",,"",""
23,B20-38000,3.0,WARRANT SERVICE,TELEPHONE,2020-10-19T00:00:00,14:36:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,50,,,1,"","",,"",""
24,B20-38479,2.0,BURGLARY,911 LINE,2020-10-23T00:00:00,10:10:00,YES,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,36,1,,,"","",,"",""
25,B20-38486,4.0,DOMESTIC,911 LINE,2020-10-23T00:00:00,11:07:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,OFFENDER,NO,NO,,1,18,,,,"","",1,"",""
26,B20-38682,5.0,SUSPICIOUS,911 LINE,2020-10-24T00:00:00,1800.0,NO,NO,NO,YES,NO,YES,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,"","",,"",""
27,B20-38682,5.0,SUSPICIOUS,911 LINE,2020-10-24T00:00:00,17:44:00,NO,NO,NO,YES,NO,YES,NO,UNKNOWN,NO,NO,INVOLVED,NO,NO,1,,25,1,,,"","",,"",""
28,B20-38966,5.0,DOMESTIC,911 LINE,2020-10-27T00:00:00,13:59:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,JUVENILE REFERRAL,NO,NO,1,,16,,,1,"","",,"",""
29,B20-39034,5.0,ROBBERY,911 LINE,2020-10-28T00:00:00,00:45:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,OFFENDER,NO,NO,,1,37,,,1,"","",,"",""
30,B20-39034,5.0,ROBBERY,911 LINE,2020-10-28T00:00:00,00:45:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,VICTIM,NO,NO,,1,20,,,1,"","",,"",""
31,B20-39117,3.0,SUSPICIOUS,911 LINE,2020-10-28T00:00:00,19:11:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,OFFENDER,NO,NO,,1,33,1,,,"","",,"",""
32,B20-39339,3.0,WELFARE CHECK,911 LINE,2020-10-30T00:00:00,16:06:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,34,1,,,"","",,"",""
33,B20-39509,4.0,VEHICLE THEFT IP,911 LINE,2020-10-31T00:00:00,20:28:00,YES,NO,YES,YES,NO,YES,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,63,1,,,"","",,"",""
34,B20-39685,5.0,ACCIDENT,TELEPHONE,2020-11-02T00:00:00,06:20:00,YES,NO,NO,NO,NO,NO,NO,MEDICAL,NO,NO,INVOLVED,NO,NO,,1,48,1,,,"","",,"",""
35,B20-39911,4.0,ASSAULT,TELEPHONE,2020-11-04T00:00:00,22:58:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,"","",,"",""
36,B20-40144,3.0,VANDALISM,OFFICER REPORT,2020-11-05T00:00:00,16:44:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,ARRESTEE,NO,YES,1,,43,1,,,"","",,"",""
37,B20-40314,5.0,ALARM,TELEPHONE,2020-11-06T00:00:00,20:25:00,YES,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,YES,NO,,1,32,1,,,"","",,"",""
38,B20-40643,5.0,WEAPONS,TELEPHONE,2020-11-09T00:00:00,00:56:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,OFFENDER,NO,NO,,1,34,,,1,"","",,"",""
39,B20-41374,3.0,ASSAULT,TELEPHONE,2020-11-14T00:00:00,17:15:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,OFFENDER,NO,NO,,1,20,1,,,"","",,"",""
40,B20-41382,COUNTY,ACCIDENT,911 LINE,2020-11-14T00:00:00,19:53:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,VICTIM,NO,NO,,1,44,1,,,"","",,"",""
41,B20-41909,5.0,DISTURBANCE,TELEPHONE,2020-11-19T00:00:00,17:22:00,YES,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,YES,ARRESTEE,NO,NO,,1,48,1,,,"","",,"",""
42,B20-41918,5.0,DISTURBANCE,911 LINE,2020-11-19T00:00:00,18:59:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,JUVENILE REFERRAL,NO,NO,,1,15,1,,,"","",,"",""
43,B20-42747,4.0,HARASSMENT,911 LINE,2020-11-28T00:00:00,12:00:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,42,1,,,"","",,"",""
44,B20-42783,2.0,WELFARE CHECK,TELEPHONE,2020-11-28T00:00:00,18:45:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,OFFENDER,NO,NO,1,,23,1,,,"","",,"",""
45,B20-42850,4.0,WELFARE CHECK,TELEPHONE,2020-11-29T00:00:00,15:32:00,YES,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,YES,INVOLVED,NO,NO,,1,33,1,,,"","",,"",""
46,B20-43063,3.0,SUSPICIOUS,TELEPHONE,2020-12-01T00:00:00,20:45:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,OFFENDER,NO,NO,,1,53,1,,,"","",,"",""
47,B20-43169,4.0,WEAPONS,911 LINE,2020-12-02T00:00:00,21:00:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,OFFENDER,NO,NO,,1,58,,,1,"","",,"",""
48,B20-43590,3.0,WELFARE CHECK,TELEPHONE,2020-12-07T00:00:00,09:05:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,1,,34,1,,,"","",,"",""
49,B20-43846,3.0,BURGLARY,TELEPHONE,2020-12-09T00:00:00,16:01:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,33,,,1,"","",,"",""
50,B20-44310,4.0,PARKING,TELEPHONE,2020-12-13T00:00:00,15:07:00,NO,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,MENTIONED,NO,NO,,1,45,,,1,"","",,"",""
51,B20-44464,1.0,WEAPONS,TELEPHONE,2020-12-15T00:00:00,10:44:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,OFFENDER,NO,NO,,1,63,,,1,"","",,"",""
52,B20-44498,5.0,HARASSMENT,TELEPHONE,2020-12-15T00:00:00,16:13:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,"","",,"",""
53,B20-44961,3.0,WELFARE CHECK,TELEPHONE,2020-12-19T00:00:00,22:22:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,YES,YES,1,,19,1,,,"","",,"",""
54,B20-45239 ,5.0,WARRANT SERVICE,911 LINE,2020-12-22T00:00:00,18:06:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,"","",,"",""
55,B20-45465,5.0,OTHER,OFFICER REPORT,2020-12-25T00:00:00,02:06:00,NO,NO,NO,NO,NO,YES,NO,UNKNOWN,NO,NO,SUSPECT,NO,NO,,1,20,,,1,"","",,"",""
56,B20-45634,COUNTY,WEAPONS,911 LINE,2020-12-27T00:00:00,16:10:00,NO,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,INVOLVED,NO,NO,,1,38,1,,,"","",,"",""
57,B20-45677,4.0,WELFARE CHECK,TELEPHONE,2020-12-28T00:00:00,02:13:00,YES,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,INVOLVED,NO,NO,,1,29,1,,,"","",,"",""
58,B20-45679,4.0,ALARM,TELEPHONE,2020-12-28T00:00:00,02:42:00,YES,NO,NO,YES,NO,YES,YES,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,33,1,,,"","",,"",""
59,B20-46018,3.0,TRESPASS,TELEPHONE,2020-12-31T00:00:00,17:37:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,46,,1,,"","",,"",""
60,B20-46040,3.0,WELFARE CHECK,911 LINE,2020-12-31T00:00:00,21:10:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,40,1,,,"","",,"",""
