_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
42,B18-33037,3.0,WEAPONS IP,911 LINE,2018-08-16T00:00:00,05:32:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,20,,,1,"","","","",""
43,B18-33193,1.0,DISTURBANCE IP,OFFICER REPORT,2018-08-17T00:00:00,03:02:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,20,,,1,"","","","",""
44,B18-33194,1.0,DISTURBANCE IP,OFFICER REPORT,2018-08-17T00:00:00,03:18:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,25,,,1,"","","","",""
45,B18-33303,4.0,SERVICE IP,TELEPHONE,2018-08-17T00:00:00,16:53:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTED,NO,NO,,1,46,,,1,"","","","",""
46,B18-33542,1.0,DISTURBANCE IP,OFFICER REPORT,2018-08-19T00:00:00,00:12:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTED,NO,NO,1,,34,1,,,"","","","",""
47,B18-33670,3.0,WELFARE CHK,911 LINE,2018-08-19T00:00:00,21:12:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTED,YES,NO,,1,30,,,1,"","","","",""
48,B18-33685,4.0,RUNAWAY,911 LINE,2018-08-19T00:00:00,22:49:00,YES,NO,NO,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,13,,,1,"","","","",""
49,B18-33703,5.0,TRAFFIC STOP,OFFICER REPORT,2018-08-20T00:00:00,00:42:00,NO,NO,YES,NO,YES,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,23,1,,,"","","","",""
50,B18-33816,3.0,WEAPONS IP,911 LINE,2018-08-20T00:00:00,19:47:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTED,NO,NO,,1,25,1,,,"","","","",""
51,B18-34433,4.0,FOLLOW UP,OFFICER REPORT,2018-08-24T00:00:00,19:01:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTED,NO,NO,,1,37,,,1,"","","","",""
52,B18-34575,4.0,WARRANT SERVICE,OFFICER REPORT,2018-08-25T00:00:00,17:41:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,48,1,,,"","","","",""
53,B18-35217,1.0,JUVENILE,911 LINE,2018-08-29T00:00:00,20:33:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,10,,,1,"","","","",""
54,B18-35718,4.0,SUSP ACT IP,TELEPHONE,2018-09-01T00:00:00,14:39:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,,,"","","","",""
55,B18-35726,5.0,MENTAL HEALTH IP,TELEPHONE,2018-09-01T00:00:00,15:41:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,34,1,,,"","","","",""
56,B18-36213,5.0,ATL,TELEPHONE,2018-09-04T00:00:00,18:07:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,44,1,,,"","","","",""
57,B18-36435,3.0,WELFARE CHK IP,911 CALL,2018-09-06T00:00:00,01:59:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,"","","","",""
58,B18-37421,MCSO,WARRANT SERVICE,OFFICER REPORT,2018-09-13T00:00:00,21:15:00,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,54,1,,,"","","","",""
59,B18-37736,3.0,JUVENILE,TELEPHONE,2018-09-14T00:00:00,14:00:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,16,,,,"","","","",""
60,B18-37849,5.0,SUSP ACT IP,TELEPHONE,2018-09-15T00:00:00,00:23:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,"","","","",""
61,B18-37861,1.0,WELFARE CHK IP,TELEPHONE,2018-09-15T00:00:00,01:10:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,"","","","",""
62,B18-37932,5.0,INDECENT EXP IP,TELEPHONE,2018-09-15T00:00:00,14:55:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,51,1,,,"","","","",""
63,B18-38105,3.0,WARRANT SERVICE,TELEPHONE,2018-09-16T00:00:00,1903-03-03 00:00:00,YES,NO,NO,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,32,1,,,"","","","",""
64,B18-39443,5.0,DOMESTIC,911.0,2018-09-25T00:00:00,1903-07-23 00:00:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,31,1,,,"","","","",""
65,B18-39401,4.0,SUSP ACT IP,TELEPHONE,2018-09-25T00:00:00,1900-10-26 00:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,38,1,,,"","","","",""
66,B18-39744,3.0,DISTURBANCE IP,TELEPHONE,2018-09-28T00:00:00,1905-04-13 00:00:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,30,,,1,"","","","",""
67,B18-39819,3.0,DOMESTIC,911.0,2018-09-28T00:00:00,1901-06-13 00:00:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,20,,,1,"","","","",""
68,B18-39912,5.0,SUICIDAL,TELEPHONE,2018-09-28T00:00:00,1904-03-29 00:00:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,54,1,,,"","","","",""
69,B18-39868,1.0,MOTORIST ASSIST,OFFICER REPORT,2018-09-28T00:00:00,1903-05-09 00:00:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,"","","","",""
