_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
27,B18-15605,1.0,FIGHT IP,OFFICER REPORT,2018-04-20T00:00:00,01:57:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,,,1,"","","","",""
28,B18-15804,3.0,WELFARE CHK IP,TELEPHONE,2018-04-21T00:00:00,00:40:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,22,,,1,"","","","",""
29,B18-16221,5.0,WARRANT SERVICE,TELEPHONE,2018-04-22T00:00:00,15:14:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,34,1,,,"","","","",""
30,B18-16362,3.0,WELFARE CHK IP,TELEPHONE,2018-04-23T00:00:00,16:58:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,53,1,,,"","","","",""
31,B18-16370,1.0,WELFARE CHK IP,TELEPHONE,2018-04-23T00:00:00,17:58:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,"","","","",""
32,B18-16374,4.0,DOMESTIC IP,OFFICER REPORT,2018-04-23T00:00:00,18:22:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,48,1,,,"","","","",""
33,B18-16487,1.0,WEAPONS IP,911 LINE,2018-04-24T00:00:00,15:44:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,51,1,,,"","","","",""
34,B18-16730,3.0,DOMESTIC IP,911 LINE,2018-04-25T00:00:00,23:58:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,31,,,1,"","","","",""
35,B18-17210,5.0,BURGLARY IP,TELEPHONE,2018-04-28T00:00:00,19:45:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,"","","","",""
36,B18-17269,4.0,TRESPASS IP,TELEPHONE,2018-04-29T00:00:00,03:16:00,YES,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,INVOLVED,NO,NO,,1,32,1,,,"","","","",""
37,B18-17320,3.0,DOMESTIC IP,911 LINE,2018-04-29T00:00:00,13:41:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1,,25,1,,,"","","","",""
38,B18-17532,5.0,DISTURBANCE IP,911 LINE,2018-04-30T00:00:00,23:28:00,NO,YES,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,35,,,1,"","","","",""
39,B18-18021,1.0,WEAPONS IP,TELEPHONE,2018-05-04T00:00:00,03:22:00,YES,NO,YES,NO,NO,NO,UNKNOWN,NO,YES,MENTIONED,YES,NO,,1,32,1,,,"","","","",""
40,B18-18285,4.0,WELFARE CHK IP,TELEPHONE,2018-05-05T00:00:00,17:46:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,59,1,,,"","","","",""
41,B18-18844,5.0,SUSP ACT IP,OFFICER REPORT,2018-05-09T00:00:00,19:45:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,31,,,1,"","","","",""
42,B18-18931,5.0,DISTURBANCE IP,911 LINE ,2018-05-10T00:00:00,12:13:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,,1,50,1,,,"","","","",""
43,B18-18934,3.0,DOMESTIC IP,911.0,2018-05-10T00:00:00,12:23:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,35,1,,,"","","","",""
44,B18-19082,3.0,TRESPASS IP,TELEPHONE,2018-05-11T00:00:00,10:22:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,26,1,,,"","","","",""
45,B18-19242,5.0,SERVICE IP,911 LINE,2018-05-12T00:00:00,13:55:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,51,1,,,"","","","",""
46,B18-19263,3.0,THEFT IP,911 LINE,2018-05-12T00:00:00,18:11:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,YES,ARRESTEE,NO,NO,,1,45,1,,,"","","","",""
47,B18-19273,3.0,WELFARE CHK IP,TELEPHONE,2018-05-12T00:00:00,19:44:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,SUSPECT,NO,NO,,1,36,1,,,"","","","",""
48,B18-19442,MCSO,TRAFFIC STOP,OFFICER REPORT,2018-05-14T00:00:00,07:24:00,YES,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,31,1,,,"","","","",""
49,B18-19826,1.0,WARRANT SERVICE,OFFICER REPORT,2018-05-16T00:00:00,20:31:00,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,16,1,,,"","","","",""
50,B18-19866,3.0,SUSP ACT IP,OFFICER REPORT,2018-05-17T00:00:00,00:51:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,CONTACT,NO,NO,1,,27,,,1,"","","","",""
51,B18-19886,5.0,SUSP ACT IP,TELEPHONE,2018-05-17T00:00:00,08:33:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,,1,54,1,,,"","","","",""
52,B18-19953,4.0,WARRANT SERVICE,TELEPHONE,2018-05-17T00:00:00,16:14:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,33,1,,,"","","","",""
53,B18-19959,4.0,WELFARE CHK IP,911 LINE,2018-05-17T00:00:00,17:14:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,56,1,,,"","","","",""
54,B18-19975,4.0,WELFARE CHK IP,911 LINE,2018-05-17T00:00:00,19:42:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1,,30,1,,,"","","","",""
55,B18-20431,5.0,BURGLARY IP,911 LINE ,2018-05-21T00:00:00,12:13:00,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,30,1,,,"","","","",""
56,B18-20619,5.0,SUSP ACT IP,TELEPHONE,2018-05-22T00:00:00,19:53:00,YES,NO,YES,NO,NO,YES,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,38,,,1,"","","","",""
57,B18-20634,3.0,BURGLARY IP,TELEPHONE,2018-05-22T00:00:00,21:11:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,34,,,1,"","","","",""
58,B18-20634,3.0,BURGLARY IP,TELEPHONE,2018-05-22T00:00:00,21:11:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,19,1,,,"","","","",""
59,B18-21018,5.0,ASSAULT IP,911 LINE,2018-05-25T00:00:00,15:59:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,1,,43,1,,,"","","","",""
60,B18-21100,4.0,DISTURBANCE IP,TELEPHONE,2018-05-26T00:00:00,02:43:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,25,1,,,"","","","",""
61,B18-21151,5.0,DOMESTIC IP,911 LINE,2018-05-26T00:00:00,13:27:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,JEUVENILE REFERRAL,NO,NO,1,,13,,,1,"","","","",""
62,B18-21164,5.0,DISTURBANCE IP,TELEPHONE,2018-05-26T00:00:00,15:39:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,41,1,,,"","","","",""
63,B18-21665,4.0,DISTURBANCE NP,TELEPHONE,2018-05-30T00:00:00,03:05:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,"","","","",""
64,B18-23406,MCSO,WEAPONS IP,911 LINE,2018-06-01T00:00:00,20:44:00,YES,YES,YES,NO,NO,YES,UNKNOWN,NO,YES,ARRESTEE,NO,NO,,1,26,1,,,"","","","",""
65,B18-22201,1.0,WEAPONS IP,911 LINE,2018-06-03T00:00:00,02:09:00,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,YES,NO,,1,28,1,,,"","","","",""
66,B18-22201,1.0,WEAPONS IP,911.0,2018-06-03T00:00:00,02:09:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,23,,,1,"","","","",""
67,B18-23004,3.0,WELFARE CHK IP,911 LINE ,2018-06-08T00:00:00,17:40:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,YES,1,,35,1,,,"","","","",""
68,B18-23426,1.0,SERVICE IP,TELEPHONE,2018-06-11T00:00:00,23:13:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,36,,,1,"","","","",""
69,B18-23498,3.0,FOLLOW UP,OFFICER REPORT,2018-06-12T00:00:00,15:19:00,YES,NO,YES,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,39,1,,,"","","","",""
70,B18-24144,3.0,THEFT NP,TELEPHONE,2018-06-16T00:00:00,01:05:00,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,SUSPECT,NO,NO,,1,26,,,1,"","","","",""
71,B18-24264,4.0,SERVICE IP,TELEPHONE,2018-06-17T00:00:00,18:32:00,YES,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,YES,CONTACT,NO,NO,,1,34,1,,,"","","","",""
72,B18-24643,4.0,DISTURBANCE IP,TELEPHONE,2018-06-20T00:00:00,02:02:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,SUSPECT,NO,NO,,1,40,,,1,"","","","",""
73,B18-24808,4.0,SUSP ACT IP,OFFICER REPORT,2018-06-21T00:00:00,00:01:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,YES,ARRESTEE,NO,NO,,1,60,1,,,"","","","",""
74,B18-25105,1.0,FIGHT IP,OFFICER REPORT,2018-06-23T00:00:00,03:01:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,28,,,1,"","","","",""
75,B18-25500,3.0,SUSP ACT IP,911 LINE,2018-06-25T00:00:00,22:50:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,46,1,,,"","","","",""
76,B18-25500,3.0,SUSP ACT IP,911 LINE,2018-06-25T00:00:00,22:50:00,YES,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,"","","","",""
77,B18-26089,3.0,DISTURBANCE IP,TELEPHONE,2018-06-30T00:00:00,03:26:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,57,1,,,"","","","",""
