Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B17-14168,1,DISTURBANCE,OFFICER REPORT,4/16/2017,3:17,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,21,1,,,,,,,
B17-14279,5,WARRANT SERVICE,OFFICER REPORT,4/17/2017,7:26,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,,,,,
B17-14350,4,DISTURBANCE IP,911,4/17/2017,15:43,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,54,,,1,,,,,
B17-14353,1,WEAPONS IP,TELEPHONE,4/17/2017,16:14,YES,NO,YES,NO,YES,YES,MENTALLY DISTURBED,YES,YES,INVOLVED,NO,NO,,1,21,1,,,,,,,
B17-15162,5,ACCIDENT LSA IP,OFFICER REPORT,4/21/2017,23:34,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,22,,,1,,,,,
B17-15210,2,BURGLARY IP,TELEPHONE,4/22/2017,2:30,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,20,1,,,,,,,
B17-15240,3,BURGLARY IP,911,4/22/2017,4:36,YES,YES,NO,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,NO,,1,22,1,,,,,,,
B17-15850,5,WELFARE CHK ,911 LINE,4/25/2017,13:01,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,ARRESTEE,YES,YES,1,,31,,,1,,,,,
B17-15893,4,THEFT IP,OFFICER REPORT,4/25/2017,17:06,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,YES,,1,47,1,,,,,,,
B17-16070,1,WELFARE CHECK IP,TELEPHONE,4/26/2017,17:44,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,1,,23,1,,,,,,,
B17-16374,4,SERVICE IP,TELEPHONE,4/28/2017,22:30,NO,NO,YES,NO,NO,YES,UNKNOWN,NO,NO,SUSPECT,NO,NO,,1,40,1,,,,,,,
B17-17216,5,DISTURBANCE,TELEPHONE,5/4/2017,17:47,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,YES,ARRESTEE,NO,NO,,1,25,1,,,,,,,
B17-17868,3,SUSP ACT IP,911,5/9/2017,1:44,YES,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,YES,,1,42,1,,,,,,,
B17-17995,5,FOLLOW UP ,TELEPHONE,5/9/2017,22:59,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,CAD,NO,NO,,1,19,1,,,,,,,
B17-18403,5,WELFARE CHK,911 LINE,5/12/2017,16:02,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,30,1,,,,,,,
B17-19215,2,VEH THEFT NP ,TELEPHONE,5/18/2017,12:05,NO,YES,NO,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B17-19316,3,WARRANT SERVICE,TELEPHONE,5/18/2017,23:54,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED ,NO,NO,1,,18,1,,,,,,,
B17-19316,3,WARRANT SERVICE,TELEPHONE,5/18/2017,23:54,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,1,,18,1,,,,,,,
B17-19316,3,WARRANT SERVICE,TELEPHONE,5/18/2017,23:54,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,19,,,1,,,,,
B17-19316,3,WARRANT SERVICE,TELEPHONE,5/18/2017,23:54,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,1,,20,1,,,,,,,
B17-19316,3,WARRANT SERVICE,TELEPHONE,5/18/2017,23:54,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,1,,20,,1,,,,,,
B17-19316,3,WARRANT SERVICE,TELEPHONE,5/18/2017,23:54,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,,1,26,,,1,,,,,
B17-19328,5,BURGLARY IP,911,5/19/2017,2:58,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,NO,,1,37,1,,,,,,,
B17-19328,5,BURGLARY IP,911,5/19/2017,2:58,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B17-19332,4,MENTAL HEALTH,911,5/19/2017,3:46,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,INVOLVED,NO,NO,,1,27,1,,,,,,,
B17-19854,1,WEAPONS IP,TELEPHONE,5/22/2017,21:15,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,25,,,1,,,,,
B17-19866,3,BURGLARY ,TELEPHONE,5/22/2017,20:19,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,,,,,
B17-19975,5,ACCIDENT LSA IP,911 LINE,5/23/2017,16:04,NO,NO,YES,NO,YES,NO,INTOXICATED,NO,YES,ARRESTEE,NO,YES,,1,69,1,,,,,,,
B17-20019,5,WELFARE CHECK IP,911,5/23/2017,22:08,YES,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,1,,39,1,,,,,,,
B17-20268,MCSO,WARRANT SERVICE,OFFICER REPORT,5/25/2017,19:15,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,37,1,,,,,,,
B17-20378,1,WELFARE CHK IP ,OFFICER REPORT,5/26/2017,11:22,YES,YES,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,56,,,1,,,,,
B17-20338,1,SUSP ACT IP,911,5/26/2017,5:02,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,,1,,,,,,
B17-20530,3,SUSP ACT IP,911 LINE,5/27/2017,13:12,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B17-20666,5,WEAPONS IP ,TELEPHONE,5/28/2017,13:44,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,18,,,1,,,,,
B17-20666,5,WEAPONS IP,TELEPHONE,5/28/2017,13:44,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,NO,,1,19,,,1,,,,,
B17-20925,1,DISTURBANCE,TELEPHONE,5/30/2017,17:20,YES,NO,YES,NO,NO,YES,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,30,1,,,,,,,
B17-20961,2,WARRANT SERVICE,TELEPHONE,5/30/2017,22:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,,,,,,,
B17-20961,2,WARRANT SERVICE,TELEPHONE,5/30/2017,22:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,22,1,,,,,,,
B17-20961,2,WARRANT SERVICE,TELEPHONE,5/30/2017,22:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,24,1,,,,,,,
B17-20961,2,WARRANT SERVICE,TELEPHONE,5/30/2017,22:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,1,,22,1,,,,,,,
B17-20961,2,WARRANT SERVICE,TELEPHONE,5/30/2017,22:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,23,1,,,,,,,
B17-20961,2,WARRANT SERVICE,TELEPHONE,5/30/2017,22:10,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,1,,20,1,,,,,,,
B17-21384,4,WELFARE CHK ,911 LINE ,6/2/2017,16:47,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,YES,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B17-21493,5,WARRANT SERVICE,911 LINE,6/3/2017,12:22,NO,YES,NO,NO,NO,YES,UNKNOWN,NO,YES,ARRESTEE,YES,NO,1,,29,,,1,,,,,
B17-21529,2,WEAPONS IP ,TELEPHONE,6/3/2017,18:14,NO,NO,YES,NO,NO,NO,NORMAL ,YES,NO,MENTIONED,NO,NO,1,,21,1,,,,,,,
B17-21577,5,DISTURBANCE IP,TELEPHONE,6/4/2017,1:02,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,42,,,1,,,,,
B17-21666,2,BURGLARY IP,TELEPHONE,6/4/2017,23:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,30,1,,,,,,,
B17-21666,2,BURGLARY IP,TELEPHONE,6/4/2017,23:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,SUSPECT,NO,NO,,1,30,1,,,,,,,
B17-21666,2,BURGLARY IP,TELEPHONE,6/4/2017,23:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,31,1,,,,,,,
B17-21949,3,SERVICE IP,TELEPHONE,6/7/2017,0:04,NO,NO,YES,NO,YES,YES,NORMAL,NO,NO,SUSPECT,NO,NO,,1,51,1,,,,,,,
B17-22234,3,SERVICE IP,911,6/8/2017,22:29,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,47,1,,,,,,,
B17-22468,5,DOMESTIC IP,911,6/10/2017,17:19,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,37,,,1,,,,,
B17-22575,1,SUSP ACT IP ,TELEPHONE,6/11/2017,11:01,YES,NO,NO,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,,1,27,,,1,,,,,
B17-22790,4,MENTAL HEALTH,TELEPHONE,6/12/2017,20:13,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,MENTIONED ,NO,NO,,1,22,1,,,,,,,
B17-22941,5,WEAPONS ,911 LINE,6/13/2017,19:11,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,1,,38,1,,,,,,,
B17-23902,5,RUNAWAY,TELEPHONE,6/19/2017,18:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,JUVENILE REFERRAL,NO,NO,,1,15,1,,,,,,,
B17-23945,5,WEAPONS IP ,911 LINE ,6/20/2017,1:26,NO,NO,YES,NO,NO,YES,NORMAL ,YES,NO,ARRESTEE,NO,NO,1,,15,1,,,,,,,
B17-23980,5,WELFARE CHECK IP,911 LINE,6/20/2017,10:03,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,32,,,1,,,,,
B17-24067,5,WELFARE CHECK IP,911,6/20/2017,18:39,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,1,,31,1,,,,,,,
B17-24602,5,FIGHT ,911 LINE ,6/23/2017,23:07,NO,NO,YES,NO,NO,NO,INTOXICATED ,NO,NO,ARRESTEE  ,NO,NO,,1,29,1,,,,,,,
B17-24604,3,DISTURBANCE,911 LINE,6/23/2017,23:26,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,MENTIONED ,NO,NO,,1,25,1,,,,,,,
B17-24622,4,FOLLOW UP ,TELEPHONE,6/24/2017,2:06,NO,NO,NO,YES,NO,YES,INTOXICATED ,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B17-24946,MCSO,SERVICE IP,TELEPHONE,6/26/2017,8:35,YES,NO,YES,NO,YES,YES,NORMAL,YES,YES,ARRESTEE,NO,NO,,1,26,1,,,,,,,
