Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B19-28570,5,WEAPONS,911,7/11/2019,21:05,NO,YES,NO,YES,NO,NO,YES,MENTALLY DISTURBED,NO,NO,DECEASED,NO,NO,,1,26,,,1,,,,,
B19-28666,1,WEAPONS,911,7/12/2019,14:27,NO,NO,YES,NO,NO,NO,NO,UNKNOWN,YES,NO,ARRESTEE,NO,NO,,1,48,,,1,,,,,
B19-28862,3,FORGERY,TELEPHONE,7/13/2019,19:42,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,22,,,1,,,,,
B19-29059,3,SUSPICIOUS ACT,TELEPHONE,7/15/2019,6:53,YES,NO,NO,YES,NO,NO,YES,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B19-29330,3,ASSAULT,TELEPHONE,7/16/2019,20:14,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,,,,,
B19-29472,3,THEFT,TELEPHONE,7/17/2019,20:01,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,21,,,1,,,,,
B19-29823,3,ASSAULT,TELEPHONE,7/20/2019,1:01,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,47,,,1,,,,,
B19-29909,5,WARRANT SERVICE,TELEPHONE,7/20/2019,16:59,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,21,,,1,,,,,
B19-30196,MCSO,SUSPICIOUS ACT,TELEPHONE,7/22/2019,17:16,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,23,,,1,,,,,
B19-30201,3,FIGHT,TELEPHONE,7/22/2019,17:31,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,32,,,1,,,,,
B19-30255,4,TRAFFIC STOP,OFFICER REPORT,7/23/2019,1:30,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,37,1,,,,,,,
B19-30527,1,WARRANT SERVICE,TELEPHONE,7/25/2019,23:35,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,1,,31,1,,,,,,,
B19-30967,3,TRAFFIC STOP,OFFICER REPORT,7/27/2019,23:44,YES,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,44,1,,,,,,,
B19-30967,3,TRAFFIC STOP,OFFICER REPORT,7/27/2019,23:44,NO,NO,NO,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,,,,,
B19-31450,2,WEAPONS,911,7/30/2019,20:44,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,OFFENDER,NO,NO,1,,47,1,,,,,,,
B19-31499,2,WARRANT SERVICE,TELEPHONE,7/31/2019,9:14,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B19-31640,3,SUSPICIOUS ACT,911,8/1/2019,7:44,NO,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,31,1,,,,,,,
B19-31747,5,JUVENILE,911,8/1/2019,20:37,YES,NO,NO,NO,NO,NO,"
",NORMAL,NO,YES,JUVENILE RUNAWAY,NO,NO,1,,15,1,,,,,,,
B19-32075,1,SUSPICIOUS ACT,OFFICER REPORT,8/4/2019,1:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE/VICTIM,NO,NO,,1,46,,,1,,,,,
B19-32089,1,FIGHT,911,8/4/2019,3:27,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,25,,,1,,,,,
B19-32208,4,WELFARE CHECK,TELEPHONE,8/5/2019,0:22,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,30,1,,,,,,,
B19-32762,2,DISTURBANCE,911,8/8/2019,10:16,YES,NO,NO,NO,NO,NO,NO,NORMAL,YES,YES,ARRESTEE,YES,NO,,1,25,,,1,,,,,
B19-32865,3,WARRANT SERVICE,TELEPHONE,8/9/2019,1:45,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,35,1,,,,,,,
B19-32882,5,SUSPICIOUS ACT,911,08/09/2019,6:40,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,30,1,,,,,,,
B19-33314,3,VANDALISM,911,8/11/2019,20:20,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,,,,,
B19-33945,3,DOMESTIC,911,8/15/2019,19:10,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,37,,,1,,,,,
B19-34237,1,WELFARE CHECK,TELEPHONE,8/17/2019,13:55,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,,1,35,1,,,,,,,
B19-34315,2,SUSPICIOUS ACT,TELEPHONE,8/18/2019,0:25,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,1,,26,,,,,,,1,
B19-34315,2,SUSPICIOUS ACT,TELEPHONE,8/18/2019,0:25,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,41,,,1,,,,,
B19-34713,4,TRESPASS,TELEPHONE,8/20/2019,16:30,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,,,,,
B19-35075,5,WARRANT SERVICE,TELEPHONE,8/22/2019,19:15,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,,,,,
B19-35201,2,WELFARE CHECK,TELEPHONE,8/23/2019,13:30,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,48,1,,1,,,,,
B19-35774,3,WELFARE CHECK,911,8/26/2019,15:45,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,26,1,,,,,,,
B19-35915,1,ROBBERY,911,8/27/2019,21:07,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,18,,,1,,,,,
B19-35915,1,ROBBERY,911,8/27/2019,21:07,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,15,1,,,,,,,
B19-35915,1,ROBBERY,911,8/27/2019,21:07,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,18,1,,,,,,,
B19-35915,1,ROBBERY,911,8/27/2019,21:07,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,17,,,1,,,,,
B19-36164,4,WEAPONS,911,9/28/2019,22:20,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,22,,,1,,,,,
B19-37025,5,DISTURBANCE,TELEPHONE,9/3/2019,22:03,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,OFFENDER,NO,NO,,1,28,,,1,,,,,
B19-37530,4,WARRANT SERVICE,OFFICER REPORT,9/6/2019,23:23,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,,,,,
B19-37562,4,SUSPICIOUS ACT,TELEPHONE,9/6/2019,2:56,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTED,NO,NO,,1,25,1,,,,,,,
B19-37562,4,SUSPICIOUS ACT,TELEPHONE,9/6/2019,2:56,NO,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,,,,,
B19-37562,4,SUSPICIOUS ACT,TELEPHONE,9/6/2019,2:56,NO,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,33,1,,,,,,,
B19-37562,4,SUSPICIOUS ACT,TELEPHONE,9/6/2019,2:56,NO,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,25,1,,,,,,,
B19-37562,4,SUSPICIOUS ACT,TELEPHONE,9/6/2019,2:56,NO,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,21,1,,,,,,,
B19-37562,4,SUSPICIOUS ACT,TELEPHONE,9/6/2019,2:56,NO,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,35,1,,,,,,,
B19-37880,1,DISTURBANCE,OFFICER REPORT,9/8/2019,0:37,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B19-37931*,1,WARRANT SERVICE,OFFICER REPORT,9/8/2019,13:13,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,62,1,,,,,,,
B19-37932,5,WELFARE CHECK,TELEPHONE,9/8/2019,13:30,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,YES,NO,1,,21,1,,,,,,,
B19-38346,4,SUSPICIOUS ACT,TELEPHONE,9/11/2019,1:38,NO,NO,NO,YES,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,,,,,
B19-38613,3,DOMESTIC,TELEPHONE,9/12/2019,17:15,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,31,1,,,,,,,
B19-38613,,DOMESTIC,TELEPHONE,9/12/2019,17:15,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,VICTIM,NO,NO,1,,22,1,,,,,,,
B19-38667,4,SUSPICIOUS ACT,OFFICER REPORT,9/13/2019,0:05,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,39,1,,,,,,,
B19-38978,3,THEFT,911,9/14/2019,19:30,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,1,,14,1,,,,,,,
B19-39314,4,WEAPONS,911,9/16/2019,21:37,YES,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,66,,,1,,,,,
B19-39324,3,WARRANT SERVICE,TELEPHONE,9/17/2019,23:10,NO,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B19-39761,2,SERVICE ,911,9/19/2019,23:16,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,,1,26,1,,,,,,,
B19-39797,5,WELFARE CHECK,TELEPHONE,9/20/2019,9:46,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,17,1,,,,,,,
B19-39893,5,DISTURBANCE,911,9/20/2019,18:15,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,31,1,,,,,,,
B19-40068,2,ASSAULT,911,9/21/2019,19:21,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B19-40324,5,WELFARE CHECK,TELEPHONE,9/23/2019,19:41,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,JUVENILE REFERRAL,NO,NO,1,,17,1,,,,,,,
B19-40465,5,DOMESTIC ,911,9/24/2019,16:08,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,,,,,
B19-40505,5,TRAFFIC STOP,OFFICER REPORT,9/24/2019,20:58,NO,NO,NO,YES,NO,YES,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,23,1,,,,,,,
B19-40992,4,CIVIL,TELEPHONE,9/28/2019,1:45,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B19-41108,5,WEAPONS,911,9/28/2019,18:35,YES,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,1,,37,,,1,,,,,
