_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
12,B16-02052,4.0,Domestic,911.0,2016-01-16T00:00:00,15:01:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,22,1,"",,"","","","",""
13,B16-02916,4.0,Burglary,911.0,2016-01-23T00:00:00,03:06:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee,NO,NO,,1,23,,"",1,"","","","",""
14,B16-02916,4.0,Burglary,911.0,2016-01-23T00:00:00,03:06:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Mentioned,NO,NO,,1,29,,"",1,"","","","",""
15,B16-03085,2.0,Disturbance,911.0,2016-01-24T00:00:00,07:45:00,YES,NO,NO,NO,NO,NO,Mentally Disturbed,YES,YES,Mentioned,NO,YES,1,,27,1,"",,"","","","",""
16,B16-03466,3.0,Welfare Check,Telephone,2016-01-27T00:00:00,03:02:00,YES,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Arrestee,NO,NO,,1,54,,"",1,"","","","",""
17,B16-03523,5.0,Panhandling,Telephone,2016-01-27T00:00:00,14:24:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Complainant,NO,NO,1,,30,1,"",,"","","","",""
18,B16-03472,3.0,Robbery,911.0,2016-01-28T00:00:00,23:50:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Juv Referral,NO,NO,,1,17,,"",1,"","","","",""
19,B16-03605,1.0,Alarm,Telephone,2016-01-28T00:00:00,05:08:00,YES,NO,NO,NO,NO,NO,Intoxicated,YES,YES,Juv Referral,NO,NO,,1,17,1,"",,"","","","",""
20,B16-03728,4.0,Service,Officer Report,2016-01-29T00:00:00,23:46:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Juv Referral,NO,NO,,1,17,,"",1,"","","","",""
21,B16-04308,5.0,Warrant Service,Telephone,2016-02-01T00:00:00,22:13:00,NO,NO,YES,NO,NO,YES,Intoxicated,YES,YES,Arrestee,NO,NO,,1,21,,"",1,"","","","",""
22,B16-04308,5.0,Warrant Service,Telephone,2016-02-01T00:00:00,22:13:00,NO,YES,YES,NO,NO,YES,Intoxicated,YES,NO,Arrestee,NO,NO,,1,25,,"",1,"","","","",""
23,B16-05168,3.0,Theft,911.0,2016-02-09T00:00:00,17:10:00,YES,NO,NO,NO,NO,NO,Normal,NO,NO,Juv Referral,NO,NO,,1,16,,"",1,"","","","",""
24,B16-05204,3.0,Alarm,Telephone,2016-02-09T00:00:00,04:00:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,42,1,"",,"","","","",""
25,B16-05391,3.0,Welfare Check,Telephone,2016-02-11T00:00:00,21:05:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Mentioned,NO,NO,,1,48,1,"",,"","","","",""
26,B16-05641,1.0,Welfare Check,Telephone,2016-02-13T00:00:00,20:00:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,21,1,"",,"","","","",""
27,B16-05881,3.0,Theft,911.0,2016-02-15T00:00:00,18:14:00,YES,NO,NO,NO,NO,YES,Normal,NO,NO,Arrestee,NO,NO,,1,23,,"",1,"","","","",""
28,B16-06101,3.0,Theft,911.0,2016-02-17T00:00:00,15:19:00,YES,NO,NO,NO,NO,YES,Normal,NO,YES,Mentioned,NO,NO,,1,23,1,"",,"","","","",""
29,B16-06114,MCSO,Service,Telephone,2016-02-17T00:00:00,16:47:00,NO,NO,NO,NO,NO,NO,"",NO,NO,Mentioned,NO,NO,,1,23,1,"",,"","","","",""
30,B16-06394,1.0,Welfare Check,911.0,2016-02-19T00:00:00,18:30:00,YES,NO,NO,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,26,1,"",,"","","","",""
31,B16-06582,MCSO,Fight,Telephone,2016-02-20T00:00:00,20:00:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,53,1,"",,"","","","",""
32,B16-07108,4.0,Mental Health,Telephone,2016-02-24T00:00:00,14:13:00,YES,NO,NO,NO,NO,YES,Mentally Disturbed,YES,NO,Arrestee,NO,NO,,1,40,,"",1,"","","","",""
33,B16-07896,5.0,Theft,911.0,2016-03-01T00:00:00,16:10:00,NO,NO,YES,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,,1,45,1,"",,"","","","",""
34,B16-07951,5.0,Domestic,911.0,2016-03-02T00:00:00,00:46:00,NO,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Arrestee,NO,NO,,1,42,1,"",,"","","","",""
35,B16-08092,4.0,Domestic,911.0,2016-03-03T00:00:00,00:26:00,YES,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Arrestee,NO,NO,,1,37,1,"",,"","","","",""
36,B16-08407,5.0,Welfare Check,Telephone,2016-03-05T00:00:00,00:40:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,39,1,"",,"","","","",""
37,B16-08424,1.0,Disturbance,911.0,2016-03-05T00:00:00,03:20:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,27,,"",1,"","","","",""
38,B16-08857,5.0,Trespass,911.0,2016-03-08T00:00:00,06:56:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,1,,37,1,"",,"","","","",""
39,B16-09294,5.0,Weapons,911.0,2016-03-10T00:00:00,21:25:00,NO,NO,YES,NO,NO,NO,Normal,YES,NO,Involved,NO,NO,,1,43,1,"",,"","","","",""
40,B16-09489,1.0,Service,911.0,2016-03-12T00:00:00,03:42:00,YES,NO,NO,NO,NO,NO,Unknown,NO,NO,Arrestee,NO,YES,,1,39,1,"",,"","","","",""
41,B16-09562,2.0,Disturbance,Telephone,2016-03-12T00:00:00,16:59:00,YES,NO,NO,NO,NO,YES,Intoxicated,NO,NO,Arrestee,YES,YES,,1,30,,"",1,"","","","",""
42,B16-09618,2.0,Fight,911.0,2016-03-13T00:00:00,00:39:00,NO,NO,YES,NO,NO,NO,Intoxicated,NO,NO,Witness,NO,NO,,1,41,1,"",,"","","","",""
43,B16-09618,2.0,Fight,911.0,2016-03-13T00:00:00,00:39:00,YES,NO,NO,NO,NO,NO,Intoxicated,YES,NO,Arrestee,NO,NO,,1,24,1,"",,"","","","",""
44,B16-09943,5.0,Welfare Check,Telephone,2016-03-15T00:00:00,18:05:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Involved,NO,NO,,1,45,1,"",,"","","","",""
45,B16-10225,1.0,Suspicious Activity,Officer Report,2016-03-18T00:00:00,03:25:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,NO,Arrestee,NO,NO,,1,32,,"",1,"","","","",""
46,B16-10369,5.0,Welfare Check,Telephone,2016-03-20T00:00:00,02:44:00,NO,NO,YES,NO,NO,NO,Intoxicated,YES,NO,Suspect,NO,NO,,1,33,1,"",,"","","","",""
47,B16-10536,4.0,Robbery,911.0,2016-03-20T00:00:00,16:00:00,NO,NO,YES,NO,NO,YES,Normal,YES,NO,Arrestee,NO,NO,1,,25,1,"",,"","","","",""
48,B16-10688,3.0,Suspicious Activity,911.0,2016-03-21T00:00:00,19:40:00,YES,NO,NO,NO,NO,NO,Intoxicated/Mentally Disturbed,NO,NO,Arrestee,NO,NO,,1,27,1,"",,"","","","",""
49,B16-10875,4.0,Burglary,Telephone,2016-03-23T00:00:00,12:18:00,YES,NO,NO,NO,NO,YES,Normal,NO,YES,Arrestee,NO,NO,,1,34,1,"",,"","","","",""
50,B16-09855,3.0,Service,911.0,2016-03-27T00:00:00,03:27:00,YES,NO,NO,NO,NO,NO,Intoxicated,NO,YES,Arrestee,NO,NO,,1,21,1,"",,"","","","",""
51,B16-11478,MCSO,Follow Up,Officer Report,2016-03-27T00:00:00,03:06:00,NO,NO,YES,NO,NO,YES,Normal,NO,NO,Mentioned,NO,NO,,1,16,1,"",,"","","","",""
52,B16-11533,3.0,Weapons,911.0,2016-03-28T00:00:00,18:06:00,YES,NO,YES,NO,NO,NO,Normal,YES,NO,Arrestee/Suspect,NO,NO,,1,48,,"",1,"","","","",""
53,B16-11902,1.0,Welfare Check,911.0,2016-03-30T00:00:00,18:09:00,YES,NO,NO,NO,NO,NO,Normal,NO,NO,Arrestee,NO,NO,1,,29,,"",1,"","","","",""
