Event ,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B18-41167,3,DOMESTIC,TELEPHONE,10/6/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,YES,JUVENILE REFERRAL,NO,NO,,1,15,1,,,,,,,
B18-41167,3,DOMESTIC,TELEPHONE,10/6/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,1,,36,1,,,,,,,
B18-41167,3,DOMESTIC,TELEPHONE,10/6/2018,0:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,ARRESTEE,YES,NO,,1,29,1,,,,,,,
B18-41443,4,JUVENILE,TELEPHONE,10/8/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,17,1,,,,,,,
B18-41450,1,RUNAWAY,TELEPHONE,10/8/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,15,1,,,,,,,
B18-41660,5,TRESPASS IP,TELEPHONE,10/9/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,36,1,,,,,,,
B18-41827,3,WARRANT SERVICE,TELEPHONE,10/10/2018,0:00,NO,NO,YES,NO,NO,YES,UNKNOWN,NO,YES,ARRESTEE,NO,NO,,1,26,,,1,,,,,
B18-41827,3,WARRANT SERVICE,TELEPHONE,10/10/2018,0:00,NO,NO,YES,NO,NO,YES,UNKNOWN,NO,YES,ARRESTEE,NO,NO,,1,40,1,,,,,,,
B18-41850,5,DISTURBANCE,TELEPHONE,10/11/2018,0:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,,,,,
B18-42178,1,TRESPASS IP,TELEPHONE,10/13/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,,,,,
B18-42295,3,SUSP ACT IP,OFFICER REPORT,10/13/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,31,,,1,,,,,
B18-42529,4,WELFARE CHECK,TELEPHONE,10/15/2018,0:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,70,1,,,,,,,
B18-42899,2,VEHICLE THEFT,OFFICER REPORT,10/18/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,,,,,
B18-43979,4,DOMESTIC,TELEPHONE,10/20/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,38,,,1,,,,,
B18-43749,4,SUSP ACT IP,OFFICER REPORT,10/24/2018,0:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,51,,,1,,,,,
B18-43942,3,SUSP ACT IP,OFFICER REPORT,10/25/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,46,1,,,,,,,
B18-44035,1,DISTURBANCE,TELEPHONE,10/26/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B18-44732,3,WARRANT SERVICE,OFFICER REPORT,10/30/2018,0:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,1,,26,1,,,,,,,
B18-45347,3,DOMESTIC,TELEPHONE,11/3/2018,0:00,YES,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
B18-45506,4,SUSP ACT IP,TELEPHONE,11/4/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,36,1,,,,,,,
B18-46052,5,BURGLARY IP,TELEPHONE,11/7/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,,,,,
B18-46052,5,BURGLARY IP,TELEPHONE,11/7/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,25,1,,,,,,,
B18-46052,5,BURGLARY IP,TELEPHONE,11/7/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,WTINESS,NO,NO,,1,20,1,,,,,,,
B18-46052,5,BURGLARY IP,TELEPHONE,11/7/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B18-45920,3,SUSPICIOUS ACT,OFFICER REPORT,11/7/2018,0:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,,,,,
B18-46052,5,BURGLARY IP,911,11/7/2018,23:09,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,24,1,,,,,,,
B18-46613,5,SUSPICIOUS ACT,OFFICER REPORT,11/12/2018,0:00,YES,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,30,1,,,,,,,
B18-46803,5,WELFARE CHECK,TELEPHONE,11/13/2018,0:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,20,1,,,,,,,
B18-46865,1,DISTURBANCE,TELEPHONE,11/14/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B18-47287,5,DOMESTIC,911,11/17/2018,0:00,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,17,,1,,,,,,
B18-47450,3,WARRANT SERVICE,OFFICER REPORT,11/18/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,34,1,,,,,,,
B18-47450,3,WARRANT SERVICE,OFFICER REPORT,11/18/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,49,1,,,,,,,
B18-47450,3,WARRANT SERVICE,OFFICER REPORT,11/18/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,,,,,
B18-47472,5,WELFARE CHECK,TELEPHONE,11/18/2018,0:00,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,54,1,,,,,,,
B18-47511,5,TRAFFIC STOP,OFFICER REPORT,11/19/2018,0:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,,,,,
B18-47511,5,TRAFFIC STOP,OFFICER REPORT,11/19/2018,3:54,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,MENTIONED,NO,NO,1,,25,1,,,,,,,
B18-47847,3,WARRANT SERVICE,OFFICER REPORT,11/21/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,29,1,,,,,,,
B18-48305,4,TRAFFIC STOP,OFFICER REPORT,11/26/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,35,1,,,,,,,
B18-48552,4,TRAFFIC STOP,OFFICER REPORT,11/28/2018,0:00,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,37,1,,,,,,,
B18-485656,3,SERVICE IP,911,11/28/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,1,,35,1,,,,,,,
B18-47530,5,DOMESTIC ,911,11/29/2018,0:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,27,1,,,,,,,
B18-48786,2,BURGLARY IP,911,11/29/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,34,1,,,,,,,
B18-48855,4,WARRANT SERVICE,TELEPHONE,11/30/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,18,1,,,,,,,
B18-49107,5,DISTRUBANCE,TELEPHONE,12/1/2018,0:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,28,1,,,,,,,
B18-49588,5,TRAFFIC STOP,OFFICER REPORT,12/5/2018,0:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,33,1,,,,,,,
B18-49580,2,DRUNK,TELEPHONE,12/5/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B18-49829,5,DISTURBANCE,OFFICER REPORT,12/6/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,47,1,,,,,,,
B18-49763,5,JUVENILE,TELEPHONE,12/6/2018,9:46,YES,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,INVOLVED,NO,NO,,1,11,1,,,,,,,
B18-50007,2,INTOXICATION,TELEPHONE,12/7/2018,0:00,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B18-49868,3,WARRANT SERVICE,OFFICER REPORT,12/7/2018,0:00,YES,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,,,1,,,,,
B18-50187,1,WELFARE CHECK,TELEPHONE,12/9/2018,0:00,YES,NO,NO,NO,NO,NO,MENTALLY DISTRUBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,22,,,1,,,,,
B18-50702,5,DISTURBANCE,OFFICER REPORT,12/13/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,,,,,
B18-50875,3,WEAPON IP,TELEPHONE,12/14/2018,0:00,YES,NO,YES,NO,NO,NO,MENTALLY DISTRUBED,NO,YES,IMMEDIATE DETENTION,NO,NO,,1,28,1,,,,,,,
B18-51200,5,WELFARE CHECK,TELEPHONE,12/16/2018,0:00,NO,YES,YES,NO,NO,NO,UNKNOWN,NO,YES,ARRESTEE,NO,YES,,1,20,1,,,,,,,
B18-51116,1,WELFARE CHECK,911,12/16/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,,,,,
B18-51400,4,SUSPICIOUS ACT,OFFICER REPORT,12/18/2018,0:00,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,26,1,,,,,,,
B18-52129,3,DISTURBANCE,TELEPHONE,12/24/2018,0:00,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTED,NO,NO,,1,36,1,,,,,,,
B18-52447,5,SUSPICIOUS ACT,TELEPHONE,12/28/2018,0:00,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,,,,,
B18-52657,4,DOMESTIC,911,12/29/2018,0:00,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,,1,63,1,,,,,,,
B18-52680,1,DISTURBANCE,OFFICER REPORT,12/30/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,24,1,,,,,,,
B18-52834,1,INTOXICATION,TELEPHONE,12/31/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,33,1,,,,,,,
B18-52833,3,DISTURBANCE,911,12/31/2018,0:00,YES,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,1,,,,,,,
