_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Drew Less Lethal,Drew Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
57,B20-09741,1,BURGLARY,TELEPHONE,2020-03-05T00:00:00,03:28:50,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,56,1,,,"",,"","",""
58,B20-09755,1,ROV IP,911 LINE,2020-03-05T00:00:00,08:48:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,ARRESTEE,NO,NO,,1,44,1,,,"",,"","",""
59,B20-09946,3,BURGLARY,911 LINE,2020-03-06T00:00:00,04:09:11,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,OFFENDER,NO,NO,,1,31,1,,,"",,"","",""
60,B20-09484,1,SERVICE,OFFICER REPORT ,2020-03-06T00:00:00,13:15:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,YES,ARRESTEE,NO,NO,,1,30,1,,,"",,"","",""
61,B20-10327,5,TRAFFIC STOP,OFFICER REPORT ,2020-03-08T00:00:00,03:39:18,YES,NO,NO,NO,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,1,,35,1,,,"",,"","",""
62,B20-11424,4,WEAPONS IP,911 LINE,2020-03-15T00:00:00,21:35:02,YES,NO,YES,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,20,1,,,"",,"","",""
63,B20-11424,4,WEAPONS IP,911 LINE,2020-03-15T00:00:00,21:35:02,YES,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,20,1,,,"",,"","",""
64,B20-11572,3,WARRANT SERVICE,TELEPHONE,2020-03-17T00:00:00,02:11:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,37,1,,,"",,"","",""
65,B20-11754,3,FIGHT IP,TELEPHONE,2020-03-18T00:00:00,14:55:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,YES,INVOLVED,NO,NO,,1,31,1,,,"",,"","",""
66,B20-11885,1,WEAPONS IP,TELEPHONE,2020-03-19T00:00:00,18:58:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,INVOLVED,NO,NO,,1,54,1,,,"",,"","",""
67,B20-12069,4,DISTURBANCE IP,TELEPHONE,2020-03-21T00:00:00,16:41:28,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,"",,"","",""
68,B20-12050,1,SERVICE,911 LINE,2020-03-21T00:00:00,12:00:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,YES,,1,33,1,,,"",,"","",""
69,B20-12366,4,ROBBERY IP,911 LINE,2020-03-25T00:00:00,22:30:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,51,1,,,"",,"","",""
70,B20-12366,4,ROBBERY IP,911 LINE,2020-03-25T00:00:00,22:30:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,54,1,,,"",,"","",""
71,B20-12366,4,ROBBERY IP,911 LINE,2020-03-25T00:00:00,22:30:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,39,1,,,"",,"","",""
72,B20-12366,4,ROBBERY IP,911 LINE,2020-03-25T00:00:00,22:30:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,44,1,,,"",,"","",""
73,B20-12395,5,BURGLARY IP,TELEPHONE,2020-03-25T00:00:00,09:33:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,"",,"","",""
74,B20-12686,1,DOMESTIC IP,TELEPHONE,2020-03-28T00:00:00,01:04:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,YES,YES,,1,31,1,,,"",,"","",""
75,B20-12751,5,DISTURBANCE IP,TELEPHONE,2020-03-28T00:00:00,18:28:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,YES,ARRESTEE,YES,YES,,1,34,1,,,"",,"","",""
76,B20-12964,5,ROBBERY,911 LINE,2020-03-31T00:00:00,19:00:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,31,,,1,"",,"","",""
