_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
20,B19-01878,5,WARRANT SERVICE,TELEPHONE,2019-01-14T00:00:00,02:33:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,36,1,,,"","","",,""
21,B19-02039,3,TRAFFIC STOP,OFFICER REPORT,2019-01-15T00:00:00,03:34:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,,1,39,1,,,"","","",,""
22,B19-02131,4,WELFARE CHECK,911.0,2019-01-15T00:00:00,20:42:00,YES,NO,NO,NO,NO,NO,YES,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,40,,,1,"","","",,""
23,B19-02174,3,SUSPICIOUS ACT,911.0,2019-01-16T00:00:00,04:00:00,YES,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,21,1,,,"","","",,""
24,B19-02174,3,SUSPICIOUS ACT,911.0,2019-01-16T00:00:00,04:00:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,NO,NO,VICTIM,NO,NO,1,,22,1,,,"","","",,""
25,B19-02329,1,ROBBERY,911.0,2019-01-17T00:00:00,02:28:00,YES,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,,,1,"","","",,""
26,B19-02623,4,THEFT,911.0,2019-01-18T00:00:00,23:02:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,28,1,,,"","","",,""
27,B19-02639,5,WARRANT SERVICE,911.0,2019-01-19T00:00:00,00:12:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,"","","",,""
28,B19-02818,2,WARRANT SERVICE,TELEPHONE,2019-01-20T00:00:00,15:07:00,YES,NO,YES,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,25,1,,,"","","",,""
29,B19-03409,1,WELFARE CHECK,OFFICER REPORT,2019-01-25T00:00:00,02:17:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,20,1,,,"","","",,""
30,B19-03415,1,DRUNK,OFFICER REPORT,2019-01-25T00:00:00,03:13:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,"","","",,""
31,B19-04264,5,WEAPONS,TELEPHONE,2019-01-31T00:00:00,11:38:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,ARRESTEE,NO,NO,,1,36,1,,,"","","",,""
32,B19-04510,3,DOMESTIC ,OFFICER REPORT,2019-02-02T00:00:00,00:23:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,INVOLVED,NO,NO,,1,39,1,,,"","","",,""
33,B19-04600,3,TRESPASS,TELEPHONE,2019-02-02T00:00:00,15:34:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,57,,,1,"","","",,""
34,B19-04634,4,DOMESTIC,911.0,2019-02-02T00:00:00,19:47:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,25,,,1,"","","",,""
35,B19-04635,1,SUSPICIOUS ACT,911.0,2019-02-02T00:00:00,19:47:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,37,1,,,"","","",,""
36,B19-04637,3,WELFARE CHECK,TELEPHONE,2019-02-02T00:00:00,20:05:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,34,1,,,"","","",,""
37,B19-04659,2,NOISE,TELEPHONE,2019-02-02T00:00:00,23:33:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,"","","",,""
38,B19-04808,1,ATL,TELEPHONE,2019-02-04T00:00:00,06:26:00,YES,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,48,1,,,"","","",,""
39,B19-04980,3,DOMESTIC,911.0,2019-02-05T00:00:00,11:09:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,21,1,,,"","","",,""
40,B19-05078,3,TRESPASS,TELEPHONE,2019-02-06T00:00:00,02:03:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,31,1,,,"","","",,""
41,B19-05160,1,WEAPONS,911.0,2019-02-06T00:00:00,17:22:00,NO,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,53,1,,,"","","",,""
42,B19-05465,5,DISTURBANCE,911.0,2019-02-08T00:00:00,16:01:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,14,1,,,"","","",,""
43,B19-05611,3,DISTURBANCE,TELEPHONE,2019-02-09T00:00:00,16:24:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,1,,14,1,,,"","","",,""
44,B19-05744,4,DOMESTIC,911.0,2019-02-10T00:00:00,20:00:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,24,,,1,"","","",,""
45,B19-05807,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-10T00:00:00,23:30:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,JUVENILE REFERRAL,NO,NO,,1,16,1,,,"","","",,""
46,B19-05908,3,WEAPONS,TELEPHONE,2019-02-11T00:00:00,18:10:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,27,1,,,"","","",,""
47,B19-05908,3,WEAPONS,TELEPHONE,2019-02-11T00:00:00,18:10:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,24,1,,,"","","",,""
48,B19-05908,3,WEAPONS,TELEPHONE,2019-02-11T00:00:00,18:10:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,23,1,,,"","","",,""
49,B19-05956,5,WELFARE CHECK,TELEPHONE,2019-02-12T00:00:00,07:55:00,NO,NO,YES,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,IMMEDIATE DETENTION,NO,NO,,1,57,1,,,"","","",,""
50,B19-06018,4,SUSPICIOUS ACT,OFFICER REPORT,2019-02-12T00:00:00,17:27:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,JUVENILE REFERRAL,NO,NO,,1,17,1,,,"","","",,""
51,B19-06372,4,DISTURBANCE,911.0,2019-02-15T00:00:00,09:24:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,44,1,,,"","","",,""
52,B19-06375,4,VEHICLE THEFT,TELEPHONE,2019-02-15T00:00:00,10:10:00,YES,NO,YES,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,33,1,,,"","","",,""
53,B19-06750,1,SUSPICIOUS ACT,OFFICER REPORT,2019-02-17T00:00:00,17:49:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,IMMEDIATE DETENTION,NO,NO,,1,46,1,,,"","","",,""
54,B19-06750,4,WARRANT SERVICE,OFFICER REPORT,2019-02-17T00:00:00,19:01:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,46,1,,,"","","",,""
55,B19-06782,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-17T00:00:00,23:36:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,YES,NO,INVOLVED,NO,NO,,1,48,1,,,"","","",,""
56,B19-06936,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-19T00:00:00,02:19:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,34,1,,,"","","",,""
57,B19-06936,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-19T00:00:00,02:19:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,37,1,,,"","","",,""
58,B19-06936,3,SUSPICIOUS ACT,OFFICER REPORT,2019-02-19T00:00:00,02:19:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,35,1,,,"","","",,""
59,B19-07129,3,ABUSE,TELEPHONE,2019-02-20T00:00:00,09:48:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,27,1,,,"","","",,""
60,B19-07329,5,WARRANT SERVICE,911.0,2019-02-21T00:00:00,16:15:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,42,1,,,"","","",,""
61,B19-07516,5,WARRANT SERVICE,TELEPHONE,2019-02-22T00:00:00,18:57:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,41,1,,,"","","",,""
62,B19-07578,5,WEAPONS,911.0,2019-02-23T00:00:00,03:58:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,24,1,,,"","","",,""
63,B19-07578,5,WEAPONS,911.0,2019-02-23T00:00:00,03:58:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,MENTIONED,NO,NO,,1,42,1,,,"","","",,""
64,B19-07681,3,BURGLARY,911.0,2019-02-23T00:00:00,21:09:00,YES,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,,,"","","",,""
65,B19-07743,1,FOLLOW UP,OFFICER REPORT,2019-02-24T00:00:00,05:00:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,OFFENDER- OTHER,NO,NO,,1,35,,,1,"","","",,""
66,B19-07807,3,WELFARE CHECK,911.0,2019-02-24T00:00:00,18:48:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,INVOLVED,NO,NO,,1,59,1,,,"","","",,""
67,B19-07928,5,DISTURBANCE,TELEPHONE,2019-02-25T00:00:00,17:19:00,YES,NO,NO,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,42,1,,,"","","",,""
68,B19-08138,5,TRAFFIC STOP,OFFICER REPORT,2019-02-27T00:00:00,08:43:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,MENTIONED,NO,NO,,1,31,,,1,"","","",,""
69,B19-08160,1,DISTURBANCE,TELEPHONE,2019-02-27T00:00:00,11:52:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,32,1,,,"","","",,""
70,B19-08361,5,DISTURBANCE,911.0,2019-02-28T00:00:00,20:05:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,"","","",,""
71,B19-09109,4,TRESPASS,OFFICER REPORT,2019-03-05T00:00:00,10:07:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,"","","",,""
72,B19-09194,4,TRAFFIC STOP,OFFICER REPORT,2019-03-05T00:00:00,20:35:00,NO,NO,YES,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,54,1,,,"","","",,""
73,B19-09483,5,SERVICE ,911.0,2019-03-07T00:00:00,18:47:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,OFFENDER,NO,NO,1,,22,1,,,"","","",,""
74,B19-09575,3,SUSPICIOUS ACT,OFFICER REPORT,2019-03-08T00:00:00,12:49:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,"","","",,""
75,B19-10201,4,DISTURBANCE,911.0,2019-03-12T00:00:00,22:52:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,MENTIONED,NO,NO,,1,41,1,,,"","","",,""
76,B19-10388,3,DOMESTIC,TELEPHONE,2019-03-14T00:00:00,11:18:00,NO,NO,YES,NO,NO,NO,NO,MENTALLY DISTURBED,YES,NO,JUVENILE REFERRAL,NO,NO,,1,16,,,,"","","",1,""
77,B19-10415,5,ROBBERY,911.0,2019-03-14T00:00:00,16:01:00,NO,NO,NO,YES,NO,NO,NO,UNKNOWN,YES,NO,ARRESTEE,NO,NO,,1,36,1,,,"","","",,""
78,B19-10545,3,SUSPICIOUS ACT,OFFICER REPORT,2019-03-15T00:00:00,04:25:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,46,1,,1,"","","",,""
79,B19-10712,3,THEFT,OFFICER REPORT,2019-03-16T00:00:00,16:14:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,19,,1,,"","","",,""
80,B19-10741,4,FOLLOW UP,TELEPHONE,2019-03-16T00:00:00,21:58:00,YES,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,59,1,,,"","","",,""
81,B19-10770,5,SUSPICIOUS ACT,TELEPHONE,2019-03-17T00:00:00,02:46:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,40,1,,,"","","",,""
82,B19-10833,3,DRUGS,TELEPHONE,2019-03-17T00:00:00,18:53:00,NO,NO,NO,YES,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,1,,,"","","",,""
83,B19-11353,5,JUVENILE,TELEPHONE,2019-03-21T00:00:00,15:42:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,OFFENDER,NO,NO,,1,10,,,1,"","","",,""
84,B19-11880,4,TRAFFIC STOP,OFFICER REPORT,2019-03-24T00:00:00,22:44:00,YES,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,47,1,,,"","","",,""
85,B19-12161,3,WARRANT SERVICE,OFFICER REPORT,2019-03-26T00:00:00,22:51:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,47,,,1,"","","",,""
86,B19-12186,5,HARASSMENT,911.0,2019-03-27T00:00:00,03:29:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,28,1,,,"","","",,""
87,B19-12285,5,SERVICE ,TELEPHONE,2019-03-27T00:00:00,18:29:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,YES,NO,MENTIONED,NO,YES,,1,35,1,,,"","","",,""
88,B19-12428,3,THEFT,TELEPHONE,2019-03-28T00:00:00,16:15:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,35,1,,,"","","",,""
89,B19-12514,1,WEAPONS,911.0,2019-03-29T00:00:00,01:59:00,NO,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,OFFENDER,NO,NO,,1,31,,,1,"","","",,""
