_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Drew Less Lethal,Drew Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race  White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
57,B20-20035,1,SUSPICIOUS,TELEPHONE,2020-05-31T00:00:00,16:48:00,YES,NO,NO,YES,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,34,,,1,"","",,"",""
58,B20-20032,3,VEHICLE THEFT NP,TELEPHONE,2020-05-31T00:00:00,15:16:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,ARRESTEE,YES,NO,,1,37,1,,,"","",,"",""
59,B20-20332,5,BURGLARY,911 LINE,2020-06-02T00:00:00,23:09:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,OFFENDER,NO,NO,,1,18,1,,,"","",,"",""
60,B20-20772,5,DISTURBANCE,TELEPHONE,2020-06-06T00:00:00,12:06:00,YES,YES,NO,YES,NO,NO,NO,INTOXICATED,NO,YES,ARRESTEE,NO,YES,1,,47,1,,,"","",,"",""
61,B20-21347,4,SERVICE,OFFICER REPORT ,2020-06-11T00:00:00,14:53:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,OFFENDER,NO,NO,,1,35,,,1,"","",,"",""
62,B20-21344,3,SUSPICIOUS,TELEPHONE,2020-06-11T00:00:00,14:20:00,YES,NO,NO,NO,NO,YES,YES,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,38,1,,,"","",,"",""
63,B20-21860,4,DISTURBANCE,TELEPHONE,2020-06-15T00:00:00,16:52:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,40,,,1,"","",,"",""
64,B20-21952,4,ASSAULT,TELEPHONE,2020-06-16T00:00:00,13:43:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,22,1,,,"","",,"",""
65,B20-22005,3,DRUGS,OFFICER REPORT ,2020-06-16T00:00:00,21:43:00,NO,NO,NO,YES,NO,YES,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,53,1,,,"","",,"",""
66,B20-22017,4,BURGLARY,911 LINE,2020-06-16T00:00:00,23:42:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,42,1,,,"","",,"",""
67,B20-21921,2,FOLLOW UP,TELEPHONE,2020-06-16T00:00:00,01:15:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,YES,YES,OFFENDER,YES,NO,,1,33,,,1,"","",,"",""
68,B20-22547,4,DISTURBANCE,TELEPHONE,2020-06-20T00:00:00,23:43:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,24,1,,,"","",,"",""
69,B20-22883,3,WEAPONS,911 LINE,2020-06-24T00:00:00,02:08:00,YES,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,JUVENILE REFERRAL ,NO,NO,,1,16,,,1,"","",,"",""
70,B20-22928,4,VEHICLE THEFT NP,TELEPHONE,2020-06-24T00:00:00,14:56:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,37,1,,,"","",,"",""
71,B20-22884,3,WEAPONS,911 LINE,2020-06-25T00:00:00,03:08:00,NO,NO,NO,NO,NO,NO,YES,INTOXICATED,NO,NO,JUVENILE REFERRAL ,NO,NO,1,,14,1,,,"","",,"",""
72,B20-23339,2,WELFARE CHECK,911 LINE,2020-06-27T00:00:00,20:05:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED ,NO,NO,OFFENDER,NO,NO,1,,29,1,,,"","",,"",""
73,B20-23375,2,DOMESTIC IP,911 LINE,2020-06-28T00:00:00,02:30:00,YES,YES,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,24,,,1,"","",,"",""
74,B20-23472,3,THEFT,911 LINE,2020-06-29T00:00:00,01:57:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,18,1,,,"","",,"",""
75,B20-23562,4,WARRANT SERVICE,OFFICER REPORT ,2020-06-29T00:00:00,17:35:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,34,,,1,"","",,"",""
76,"",,"","",,"","","","","","","","","","","","","","",,,,,,,"","",,"",""
77,"",,"","",,"","","","","","","","","","","","","","",,,,,,,"","",,"",""
78,"",,"","",,"","","","","","","","","","","","","","",,,,,,,"","",,"",""
79,"",,  ,"",,"","","","","","","","","","","","","","",,,,,,,"","",,"",""
