_id,Event,District,Nature,How Received,Date,Time,Physical Contact,Less Lethal,Draw Less Lethal,Draw Weapon,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race Caucasian, Non-Hispanic","Suspect Race  Caucasian, Hispanic","Suspect Race African American, Non-Hispanic","Suspect Race African American, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
27,B19-19310,1,ACCIDENT,911.0,2019-05-12T00:00:00,04:00:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,1,"",,"","","","",""
28,B19-19712,3,DISTURBANCE,911.0,2019-05-14T00:00:00,23:31:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,37,,"",1,"","","","",""
29,B19-20169,3,WELFARE CHECK,911.0,2019-05-17T00:00:00,22:13:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,31,,"",1,"","","","",""
30,B19-20343,5,ACCIDENT,911.0,2019-05-19T00:00:00,09:50:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,25,,"",1,"","","","",""
31,B19-20806,2,ATL,TELEPHONE,2019-05-22T00:00:00,11:54:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,1,,29,,"",1,"","","","",""
32,B19-20806,2,ATL,TELEPHONE,2019-05-22T00:00:00,11:54:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,23,,"",1,"","","","",""
33,B19-20806,2,ATL,TELEPHONE,2019-05-22T00:00:00,11:54:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,23,,"",1,"","","","",""
34,B19-20806,2,ATL,TELEPHONE,2019-05-22T00:00:00,11:54:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,34,1,"",,"","","","",""
35,B19-20806,2,ATL,TELEPHONE,2019-05-22T00:00:00,11:54:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,27,1,"",,"","","","",""
36,B19-20854,1,DISTURBANCE,911.0,2019-05-28T00:00:00,17:08:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,YES,ARRESTEE,NO,NO,,1,25,1,"",,"","","","",""
37,B19-20905,3,WARRANT SERVICE,TELEPHONE,2019-05-23T00:00:00,04:10:00,NO,NO,YES,YES,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,47,1,"",,"","","","",""
38,B19-20905,3,WARRANT SERVICE,TELEPHONE,2019-05-23T00:00:00,04:10:00,NO,NO,YES,YES,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,50,1,"",,"","","","",""
39,B19-20998,4,DISTURBANCE,TELEPHONE,2019-05-27T00:00:00,17:00:00,YES,NO,NO,NO,NO,NO,NO,MENTALLY DISTURBED,NO,NO,ARRESTEE,NO,NO,,1,43,1,"",,"","","","",""
40,B19-21042,5,ASSAULT,911.0,2019-05-23T00:00:00,09:50:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,45,1,"",,"","","","",""
41,B19-21200,1,WELFARE CHECK,TELEPHONE,2019-05-25T00:00:00,22:45:00,NO,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,37,,"",1,"","","","",""
42,B19-21200,1,WELFARE CHECK,TELEPHONE,2019-05-25T00:00:00,22:45:00,NO,NO,YES,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,55,1,"",,"","","","",""
43,B19-21282,4,FIGHT,911.0,2019-05-26T00:00:00,18:42:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,1,"",,"","","","",""
44,B19-21362,3,BURGLARY,TELEPHONE,2019-05-28T00:00:00,12:08:00,NO,NO,NO,YES,NO,NO,NO,MENTALLY DISTURBED,YES,NO,ARRESTEE,NO,NO,,1,60,1,"",,"","","","",""
45,B19-21407,4,PO VIOLATION,911.0,2019-05-26T00:00:00,16:45:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,NO,NO,,1,51,1,"",,"","","","",""
46,B19-21437,2,DISTURBANCE,911.0,2019-05-26T00:00:00,19:43:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,1,,27,,"",1,"","","","",""
47,B19-21456,2,TRAFFIC STOP,OFFICER REPORT,2019-05-27T00:00:00,00:15:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,24,,"",1,"","","","",""
48,B19-21724,2,SUSPICIOUS ACT,TELEPHONE,2019-05-29T00:00:00,01:28:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,YES,NO,,1,25,1,"",,"","","","",""
49,B19-22649,3,BURGLARY,911.0,2019-06-04T00:00:00,05:56:00,NO,NO,YES,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,23,,"",1,"","","","",""
50,B19-22970,5,WARRANT SERVICE,TELEPHONE,2019-06-05T00:00:00,22:50:00,YES,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,33,1,"",,"","","","",""
51,B19-23057,5,SUSPICIOUS ACT,TELEPHONE,2019-06-08T00:00:00,16:13:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,,"",1,"","","","",""
52,B19-23243,5,ASSAULT,TELEPHONE,2019-06-08T00:00:00,00:05:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,23,1,"",,"","","","",""
53,B19-23341,4,WEAPONS,911.0,2019-06-08T00:00:00,17:57:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,32,,"",1,"","","","",""
54,B19-23347,4,BURGLARY,911.0,2019-06-08T00:00:00,14:14:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,25,1,"",,"","","","",""
55,B19-24272,3,SUSPICIOUS ACT,OFFICER REPORT,2019-06-14T00:00:00,18:42:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,47,1,"",,"","","","",""
56,B19-24454,3,TRAFFIC STOP,OFFICER REPORT,2019-06-15T00:00:00,22:08:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,NO,NO,INVOLVED,NO,NO,1,,81,1,"",,"","","","",""
57,B19-24832,3,FOLLOW UP,TELEPHONE,2019-06-18T00:00:00,14:48:00,YES,NO,NO,YES,NO,YES,YES,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,36,1,"",,"","","","",""
58,B19-24838*,2,SUSPICIOUS ACT,OFFICER REPORT,2019-06-18T00:00:00,15:26:00,YES,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,,1,26,1,"",,"","","","",""
59,B19-25358,5,TRAFFIC STOP,OFFICER REPORT,2019-06-22T00:00:00,00:47:00,NO,NO,YES,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,24,1,"",,"","","","",""
60,B19-25358,5,TRAFFIC STOP,OFFICER REPORT,2019-06-22T00:00:00,00:47:00,NO,NO,YES,YES,NO,YES,NO,NORMAL,NO,NO,ARRESTEE,NO,NO,1,,19,1,"",,"","","","",""
61,B19-25523,1,DOMESTIC,911.0,2019-06-23T00:00:00,00:35:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,ARRESTEE,NO,NO,,1,34,,"",1,"","","","",""
62,B19-25625,4,SUSPICIOUS ACT,OFFICER REPORT,2019-06-23T00:00:00,17:28:00,YES,NO,NO,NO,NO,NO,YES,NORMAL,NO,YES,ARRESTEE,NO,NO,,1,34,1,"",,"","","","",""
63,B19-25833,3,THEFT,OFFICER REPORT,2019-06-25T00:00:00,02:38:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,,1,27,1,"",,"","","","",""
64,B19-25937,4,WELFARE CHECK,TELEPHONE,2019-06-25T00:00:00,19:25:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,NO,NO,ARRESTEE,NO,NO,1,,33,1,"",,"","","","",""
65,B19-26485,4,WEAPONS,911.0,2019-06-28T00:00:00,21:49:00,NO,NO,NO,YES,NO,NO,NO,NORMAL,YES,NO,OTHER/VICTIM,NO,NO,1,,44,1,"",,"","","","",""
66,B19-26485,4,WEAPONS,911.0,2019-06-28T00:00:00,21:49:00,NO,NO,NO,YES,NO,NO,NO,INTOXICATED,YES,NO,ARRESTED,NO,NO,,1,62,1,"",,"","","","",""
67,B19-26485,4,WEAPONS,911.0,2019-06-28T00:00:00,21:49:00,NO,NO,NO,NO,NO,NO,NO,NORMAL,NO,NO,OTHER,NO,NO,,1,44,1,"",,"","","","",""
68,B19-26747,5,DOMESTIC,TELEPHONE,2019-06-30T00:00:00,16:34:00,YES,NO,NO,NO,NO,NO,NO,UNKNOWN,NO,NO,ARRESTEE,YES,NO,,1,34,,"",1,"","","","",""
69,B19-26780,4,WELFARE CHECK,TELEPHONE,2019-06-30T00:00:00,19:27:00,YES,NO,NO,NO,NO,NO,NO,INTOXICATED,YES,NO,ARRESTEE,NO,NO,,1,27,1,"",,"","","","",""
