"PIB File Number","Date","Disposition","Service Type","Force Type","Force Level","Officer Race","Officer Gender","Officer Age","Officers Yrs of Service","Subject Gender","Subject Race","Subject Age","Subject Injured","UOF Reason","Officer Injured","Number of Officers","Binning Number of Officers","Force.Type.Binning"
"FTN2016-0017","01/09/2016","Use Of Force Authorized","Call for Service","Force (Take Down) | Force (Take Down)","L2 | L2","Black | Not Specifie","Male | Male","37 | 27","13 | 6","Male","Black","17","No",NA,"No | No",2,"2","1"
"FTN2016-0019","01/10/2016","Use Of Force Authorized","Call for Service","Hands | Hands | Other","L1 | L1 | L2","Black | Black | Black","Female | Male | Male","42 | 54 | 54","13 | 1 | 1","Female","Black","27","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2016-0020","01/10/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1","White | Black | White | White","Male | Male | Male | Male","63 | 28 | 46 | 37","40 | 11 | 28 | 19","Male","Black","51","No","Resisting Officer w/Weapon","No | No | No | No",4,"3+","1"
"FTN2016-0024","01/11/2016","Use Of Force Authorized","Call for Service","Hands | Firearm (Exhibited) | Hands","L1 | L1 | L1","Black | Black | Black","Male | Male | Male","34 | 35 | 35","13 | 9 | 9","Male","Black","22","No","Resisting Officer w/Weapon","No | No | No",3,"3+","1"
"FTN2016-0022","01/11/2016","Use Of Force Authorized","Call for Service","Hands | Force (Take Down) | Hands | Force (Take Down)","L1 | L2 | L1 | L2","White | White | White | White","Male | Male | Male | Male","39 | 39 | 38 | 38","11 | 11 | 16 | 16","Male","Black","37","No","refuse verbal commands","No | No | No | No",4,"3+","1"
"FTN2016-0023","01/11/2016","Use Of Force Authorized","Pedestrian Stop","Hands | Firearm (Exhibited) | Hands","L1 | L1 | L1","Hispanic | Black | Black","Male | Male | Male","28 | 34 | 34","12 | 13 | 13","Male","Black","28","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2016-0023","01/11/2016","Use Of Force Authorized","Pedestrian Stop","Hands | Firearm (Exhibited) | Hands","L1 | L1 | L1","Hispanic | Black | Black","Male | Male | Male","28 | 34 | 34","12 | 13 | 13","Male","Black","28","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2016-0021","01/11/2016","Use Of Force Authorized","Traffic Stop","CEW Deployment | CEW Exhibited/Laser | Force (Take Down)","L2 | L1 | L2","White | Black | Black","Male | Male | Male","29 | 27 | 27","5 | 8 | 8","Male | Male","Black | Black","21 | 23","No | No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2016-0021","01/11/2016","Use Of Force Authorized","Traffic Stop","CEW Deployment | CEW Exhibited/Laser | Force (Take Down)","L2 | L1 | L2","White | Black | Black","Male | Male | Male","29 | 27 | 27","5 | 8 | 8","Male | Male","Black | Black","21 | 23","No | No","refuse verbal commands","No | No | No",3,"3+","2"
"FTN2016-0026","01/12/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","29","6","Male | Male","Black | White","37 | 33","No | No",NA,"No",1,"1","1"
"FTN2016-0027","01/13/2016","Use Of Force Authorized","Traffic Stop","Canine (Bite)","L4","Black","Male","58","3","Male","Black","30","Yes","Resisting Officer w/Weapon","No",1,"1","2"
"FTN2016-0028","01/13/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Asian/Pacifi | White | Black","Male | Male | Male","31 | 42 | 36","14 | 11 | 16","Male | Female | Male | Female | Male | Female | Male | Male | Male | Male | Male | Male | Male","Black | Black | Black | Black | Black | Black | Black | Black | Black | Black | Black | Black | Black","34 | 30 | 23 | 30 | 62 | 20 | 50 | 24 | 13 | 8 | 6 | 14 | 50","No | No | No | No | No | No | No | No | No | No | No | No | No",NA,"No | No | No",3,"3+","1"
"FTN2016-0029","01/13/2016","Use Of Force Authorized",NA,"CEW Exhibited/Laser","L1","Black","Female","31","12","Male","Black","41","No","Escape","No",1,"1","2"
"FTN2016-0031","01/14/2016","Use Of Force Authorized","Arresting","Force (Take Down)","L2","Black","Male","48","14","Male","Black","44","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0030","01/14/2016","Use Of Force Authorized","Arresting","CEW Exhibited/Laser","L1","White","Male","34","2","Male","White","55","Yes","Resisting Lawful Arrest","No",1,"1","2"
"FTN2016-0034","01/15/2016","Use Of Force Authorized","Arresting","Canine (No Bite)","L1","White","Male","48","29","Male","Black","19","No",NA,"No",1,"1","2"
"FTN2016-0032","01/15/2016","Pending","Call for Service","Force (Take Down) | Force (Take Down)","L2 | L2","White | White","Male | Female","43 | 36","12 | 6","Female","Black","33","No",NA,"No | No",2,"2","1"
"FTN2016-0033","01/15/2016","Use Of Force Authorized","Call for Service","Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1","Black | White | Black | White","Female | Male | Male | Male","36 | 30 | 41 | 26","8 | 8 | 6 | 6","Male","Black","25","No","refuse verbal commands","No | No | No | No",4,"3+","1"
"FTN2016-0037","01/18/2016","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited)","L1","White","Male","32","9","Male","Black","19","No",NA,"No",1,"1","1"
"FTN2016-0038","01/18/2016","Use Of Force Authorized",NA,"Canine (Bite)","L4","Black","Male","43","23","Male","Black","16","Yes","Resisting Lawful Arrest","No",1,"1","2"
"FTN2016-0036","01/18/2016","Pending","Call for Service","Force (Take Down)","L2","White","Male","27","6","Male","Black","23","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0040","01/18/2016","Use Of Force Authorized","Call for Service","Hands","L1","White","Male","32","5","Male","Black","42","No","Escape","Yes",1,"1","1"
"FTN2016-0039","01/18/2016","Use Of Force Authorized","Arresting","Force (Escort Tech) | Force (Escort Tech)","L1 | L1","White | Hispanic","Male | Male","41 | 27","12 | 9","Male","Black","21","No","Resisting Lawful Arrest","No | No",2,"2","2"
"FTN2016-0041","01/19/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","38 | 42","14 | 11","Female | Female | Female | Male | Female | Male | Male | Female","Black | Black | Black | Black | Black | Black | Black | Black","23 | 14 | 40 | 16 | 36 | 39 | 28 | 18","No | No | No | No | No | No | No | No",NA,"No | No",2,"2","1"
"FTN2016-0043","01/20/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Force (Take Down) | Firearm (Exhibited)","L1 | L2 | L1","Black | Black | Black","Male | Male | Male","39 | 30 | 27","23 | 8 | 8","Male","Black","29","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2016-0046","01/20/2016","Use Of Force Authorized",NA,"Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1","White | Black | Black | Black","Male | Male | Female | Male","59 | 52 | 40 | 41","22 | 29 | 22 | 6","Male","Black","59","No",NA,"No | No | No | No",4,"3+","1"
"FTN2016-0045","01/20/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Asian/Pacifi | White | White","Male | Male | Male","31 | 38 | 42","14 | 14 | 11","Female | Male","Black | Black","33 | 29","No | No",NA,"No | No | No",3,"3+","1"
"FTN2016-0044","01/20/2016","Use Of Force Authorized","Serving a Warrant",NA,"L1 | L1","Black | White","Male | Male","36 | 42","14 | 21","Male","Black","21","No",NA,"No | No",2,"2",NA
"FTN2016-0275","01/21/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","23","5","Male","Black","35","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0047","01/22/2016","Use Of Force Authorized","Pedestrian Stop","Hands | Firearm (Exhibited)","L1 | L1","White | Black","Male | Male","46 | 37","12 | 16","Male | Male | Male","Black | Black | Black","16 | 16 | 16","Yes | Yes | Yes",NA,"No | No",2,"2","1"
"FTN2016-0048","01/23/2016","Pending","Arresting","Force (Take Down)","L2","White","Male","37","9","Male","Black","27","No","refuse verbal commands","Yes",1,"1","1"
"FTN2016-0049","01/24/2016","Pending","Call for Service","Firearm (Exhibited) | Hands | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1","Black | Black | Black | Black","Male | Male | Male | Male","29 | 51 | 30 | 53","12 | 26 | 11 | 29","Male","Black","30","No","Resisting Lawful Arrest","No | No | No | No",4,"3+","1"
"FTN2016-0049","01/24/2016","Pending","Call for Service","Firearm (Exhibited) | Hands | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1","Black | Black | Black | Black","Male | Male | Male | Male","29 | 51 | 30 | 53","12 | 26 | 11 | 29","Male","Black","30","No","Resisting Lawful Arrest","No | No | No | No",4,"3+","1"
"FTN2016-0050","01/25/2016","Use Of Force Authorized","Traffic Stop","CEW Exhibited/Laser","L1","Black","Male","27","8","Male","Black","29","No","Escape","No",1,"1","2"
"FTN2016-0052","01/27/2016","Use Of Force Not Authorized","Arresting","CEW","L4","White","Male","29","5","Male","Black","28","Yes","refuse verbal commands","No",1,"1","2"
"FTN2016-0051","01/27/2016","Use Of Force Authorized","Arresting","Force (Take Down) | Hands","L2 | L1","White | White","Male | Male","42 | 33","23 | 9","Female","White","45","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0054","01/28/2016","Use Of Force Authorized","Call for Service","Force (Take Down)","L2","Race-Unknown","Male","28","6","Male | Male","Black | Black","16 | 16","Yes | Yes","Escape","No",1,"1","1"
"FTN2016-0056","01/29/2016","Use Of Force Authorized","Call for Service","Hands | Force (Take Down)","L1 | L2","White | Black","Male | Male","43 | 51","12 | 32","Female","Black","28","Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0055","01/29/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","38 | 32","11 | 9","Sex-Unk",NA,NA,"No",NA,"No | No",2,"2","1"
"FTN2016-0057","01/30/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Hispanic | Black","Male | Male","51 | 40","13 | 17","Male | Male | Female | Male","Black | Black | Black | Black","21 | 21 | 20 | 28","No | No | No | No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0060","01/31/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | White | Black","Male | Male | Male","38 | 32 | 35","11 | 9 | 9","Male","Black","23","No","Resisting Officer w/Weapon","No | No | No",3,"3+","1"
"FTN2016-0058","01/31/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","42 | 36","14 | 17","Male | Male","Black | Black","22 | 21","No | No","refuse verbal commands","No | No",2,"2","1"
"FTN2016-0062","02/02/2016","Use Of Force Authorized","Arresting","Hands | Hands | Hands | Hands","L1 | L1 | L1 | L1","White | White | White | White","Male | Male | Male | Male","34 | 34 | 46 | 38","14 | 13 | 11 | 6","Male","Black","25","No","Resisting Lawful Arrest","No | No | No | No",4,"3+","1"
"FTN2016-0063","02/02/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","Black | Black","Male | Male","36 | 42","16 | 20","Male | Male","Black | Black","22 | 21","No | No",NA,"No | No",2,"2","1"
"FTN2016-0064","02/02/2016","Use Of Force Authorized","Call for Service","Hands","L1","White","Male","35","17"," | Male"," | Black"," | 63","Yes | Yes",NA,"No",1,"1","1"
"FTN2016-0066","02/02/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","White | Black | Black","Male | Male | Male","33 | 42 | 30","16 | 20 | 9","Male | Male | Male","Black | Black | Black","28 | 22 | 20","No | No | No",NA,"No | No | No",3,"3+","1"
"FTN2016-0065","02/03/2016","Pending","Arresting","Hands | Force (Take Down) | Hands","L1 | L2 | L1","Black | Black | Black","Male | Male | Male","40 | 43 | 51","12 | 23 | 29","Male","Black","24","No","Resisting Lawful Arrest","No | No | No",3,"3+","1"
"FTN2016-0069","02/03/2016","Use Of Force Authorized","Pedestrian Stop","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite)","L1 | L1 | L1 | L1","Black | White | Asian/Pacif | White","Male | Male | Male | Male","31 | 29 | 33 | 48","12 | 5 | 12 | 29","Male | Male","Black | Black","23 | 20","No | No","Resisting Lawful Arrest","No | No | No | No",4,"3+","2"
"FTN2016-0067","02/03/2016","Use Of Force Authorized","Arresting","Force (Take Down) | CEW Exhibited/Laser","L2 | L1","Black | Black","Male | Male","29 | 36","11 | 17","Male","Black","34","No","Resisting Lawful Arrest","No | Yes",2,"2","2"
"FTN2016-0071","02/05/2016","Pending","Call for Service","CEW Exhibited/Laser","L1","White","Male","46","11","Male","Black","38","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0072","02/05/2016","Use Of Force Authorized",NA,"Hands | Force (Escort Tech)","L1 | L1","White | White","Male | Male","38 | 32","11 | 9","Female","Black","19","No","refuse verbal commands","No | No",2,"2","2"
"FTN2016-0070","02/05/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1","White | White","Male | Male","51 | 36","6 | 6","Male","Black","16","No",NA,"No | No",2,"2","1"
"FTN2016-0074","02/06/2016","Use Of Force Authorized",NA,"CEW Exhibited/Laser","L1","Black","Male","33","16","Male","Black","33","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0073","02/06/2016","Use Of Force Authorized","Call for Service","Hands | Hands | Hands","L1 | L1 | L1","Black | Black | Race-Unknown","Female | Male | Male","40 | 43 | 28","16 | 19 | 6","Male","Black","32","No","Resisting Lawful Arrest","Yes | No | No",3,"3+","1"
"FTN2016-0076","02/07/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","39","23",NA,NA,"27","No",NA,"No",1,"1","1"
"FTN2016-0075","02/07/2016","Use Of Force Authorized","Pedestrian Stop","Hands | Hands | Force (Take Down) | Force (Escort Tech) | Hands | Force (Escort Tech)","L1 | L1 | L2 | L1 | L1 | L1","White | White | Hispanic | Black | Black | White","Male | Male | Male | Male | Male | Male","35 | 54 | 27 | 33 | 33 | 27","12 | 23 | 9 | 9 | 9 | 8","Male","Black","24","No","Resisting Lawful Arrest","No | No | No | No | No | No",6,"3+","2"
"FTN2016-0079","02/07/2016","Use Of Force Authorized","Call for Service","Hands","L1","White","Male","43","12","Female","Black","0","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0077","02/07/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1","Hispanic | Hispanic | White","Male | Male | Male","36 | 36 | 29","9 | 9 | 6","Male","Black","27","No","Resisting Lawful Arrest","No | No | No",3,"3+","2"
"FTN2016-0078","02/07/2016","Use Of Force Authorized","Call for Service","Force (Take Down)","L2","Black","Male","41","17","Female","Black","28","No",NA,"No",1,"1","1"
"FTN2016-0084","02/08/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1","Black | Black | White | White","Female | Male | Male | Male","35 | 43 | 51 | 36","17 | 19 | 6 | 6","Male","Black","32","No",NA,"No | No | No | No",4,"3+","1"
"FTN2016-0080","02/08/2016","Use Of Force Authorized","Call for Service","Hands | Hands | Force (Take Down)","L1 | L1 | L2","Black | Black | Black","Male | Male | Male","47 | 38 | 54","12 | 12 | 1","Male","Black","25","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2016-0082","02/09/2016","Use Of Force Authorized","Arresting","Force (Escort Tech) | Force (Escort Tech)","L1 | L1","Black | Black","Male | Male","43 | 43","20 | 20","Male","Black","54","No","Resisting Lawful Arrest","Yes | Yes",2,"2","2"
"FTN2016-0082","02/09/2016","Use Of Force Authorized","Arresting","Force (Escort Tech) | Force (Escort Tech)","L1 | L1","Black | Black","Male | Male","43 | 43","20 | 20","Male","Black","54","No","Resisting Lawful Arrest","Yes | Yes",2,"2","2"
"FTN2016-0083","02/09/2016","Use Of Force Authorized","Arresting","Force (Take Down) | Force (Take Down)","L2 | L2","Black | White","Male | Male","41 | 42","18 | 17","Male","White","35","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0086","02/09/2016","Pending","Traffic Stop","Firearm (Exhibited)","L1","Asian/Pacifi","Male","33","12","Male","Black","21","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0085","02/09/2016","Use Of Force Authorized",NA,"Force (Take Down) | Force (Take Down)","L2 | L2","Black | White","Male | Male","41 | 38","22 | 6","Male","Black","37","No","Battery on Police Officer","No | No",2,"2","1"
"FTN2016-0087","02/10/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1 | L1","Black | Black | White | Black | Black","Male | Male | Male | Male | Male","29 | 30 |  | 24 | 28","12 | 11 | 6 | 6 | 6","Male | Male | Male | Male","Black | Black | Black | Black","14 | 17 | 18 | 16","No | No | No | No","Resisting Lawful Arrest","No | No | No | No | No",5,"3+","1"
"FTN2016-0089","02/11/2016","Use Of Force Authorized","Call for Service","CEW Deployment","L2","White","Male","46","11","Male","White","24","Yes","Resisting Lawful Arrest","No",1,"1","2"
"FTN2016-0088","02/11/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","42","20","Female | Female","Black | Black","50 | 26","No | No",NA,"No",1,"1","1"
"FTN2016-0090","02/11/2016","Use Of Force Authorized","Pedestrian Stop","CEW Exhibited/Laser | CEW Exhibited/Laser","L1 | L1","White | Black","Male | Male","29 | 27","5 | 8","Male","Black","37","No","refuse verbal commands","No | No",2,"2","2"
"FTN2016-0097","02/12/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","30","6","Male","Black",NA,"No",NA,"No",1,"1","1"
"FTN2016-0092","02/14/2016","Use Of Force Authorized","Call for Service","Force (Take Down) | Hands","L2 | L1","White | White","Male | Male","37 | 23","16 | 6","Male","White","36","Yes","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0095","02/14/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Male","47","13","Female","Black","32","No","refuse verbal commands","No",1,"1","2"
"FTN2016-0094","02/14/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","White","Male","51","6","Male","Black","34","No","Escape","No",1,"1","1"
"FTN2016-0150","02/14/2016","Pending","Arresting","Firearm (Exhibited)","L1","White","Male","47","23","Male","Black","16","Yes","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0093","02/14/2016","Use Of Force Authorized","Call for Service","CEW Exhibited/Laser","L1","Black","Female","34","5","Male","Black","16","No","Escape","No",1,"1","2"
"FTN2016-0099","02/15/2016","Use Of Force Authorized","Arresting","CEW Deployment | Force (Take Down) | Force (Take Down) | Other | Hands","L2 | L2 | L2 | L1 | L1","Black | Black | White | Black | Black","Male | Male | Male | Male | Male","42 | 42 |  | 27 | 31","22 | 22 | 9 | 8 | 6","Male","Black","49","No","Resisting Lawful Arrest","Yes | Yes | No | No | No",5,"3+","2"
"FTN2016-0099","02/15/2016","Use Of Force Authorized","Arresting","CEW Deployment | Force (Take Down) | Force (Take Down) | Other | Hands","L2 | L2 | L2 | L1 | L1","Black | Black | White | Black | Black","Male | Male | Male | Male | Male","42 | 42 |  | 27 | 31","22 | 22 | 9 | 8 | 6","Male","Black","49","No","Resisting Lawful Arrest","Yes | Yes | No | No | No",5,"3+","2"
"FTN2016-0096","02/15/2016","Use Of Force Authorized","Call for Service","Force (Take Down) | CEW Exhibited/Laser | Force (Take Down)","L2 | L1 | L2","Black | Black | Black","Male | Male | Male","47 | 27 | 55","13 | 11 | 29","Female","Black","72","Yes",NA,"No | No | No",3,"3+","2"
"FTN2016-0098","02/15/2016","Use Of Force Authorized","Arresting","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited)","L1 | L1 | L1 | L1 | L1 | L1 | L1","Black | Hispanic | Black | Black | Black | Black | Black","Male | Male | Male | Male | Male | Male | Male","47 | 29 | 33 | 42 | 55 | 44 | 28","13 | 12 | 12 | 16 | 29 | 23 | 6","Male","Black","22","No","Resisting Officer w/Weapon","No | No | No | No | No | No | No",7,"3+","1"
"FTN2016-0100","02/16/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited)","L1","Black","Male","60","38","Male","White","48","No",NA,"No",1,"1","1"
"FTN2016-0101","02/16/2016","Use Of Force Authorized","Serving a Warrant","Firearm (Exhibited)","L1","Black","Male","32","13","Male | Male | Male | Female","Black | Black | Black | Black",NA,"No | No | No | No",NA,"No",1,"1","1"
"FTN2016-0102","02/17/2016","Use Of Force Authorized","Arresting","Hands | Force (Take Down)","L1 | L2","White | White","Female | Female","40 | 40","17 | 17","Male","White","1","No","Resisting Lawful Arrest","No | No",2,"2","1"
"FTN2016-0103","02/17/2016","Use Of Force Authorized","Traffic Stop","Firearm (Exhibited) | Firearm (Exhibited) | Firearm (Exhibited) | Canine (No Bite)","L1 | L1 | L1 | L1","Black | Black | Black | White","Male | Male | Male | Male","39 | 42 | 46 | 48","14 | 16 | 28 | 29","Male | Male","Black | Black","16 | 16","Yes | Yes","Escape","No | No | No | No",4,"3+","2"
"FTN2016-0104","02/19/2016","Use Of Force Authorized","Call for Service","Hands","L1","White","Male","27","7","Male","Black","49","No","refuse verbal commands","No",1,"1","1"
"FTN2016-0105","02/20/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | Force (Take Down) | Hands","L1 | L2 | L1","Black | Black | Black","Male | Male | Female","27 | 27 | 49","11 | 11 | 26","Male","Black","40","No","refuse verbal commands","No | No | No",3,"3+","1"
"FTN2016-0108","02/21/2016","Use Of Force Authorized","Arresting","Hands | CEW Deployment","L1 | L2","Black | Black","Male | Male","43 | 51","23 | 29","Male","Black","28","No","Resisting Lawful Arrest","No | No",2,"2","2"
"FTN2016-0106","02/21/2016","Use Of Force Authorized","Call for Service","Firearm (Exhibited) | CEW Deployment","L1 | L2","Black | Black","Male | Male","41 | 41","22 | 22",NA,NA,NA,"No",NA,"No | No",2,"2","2"
"FTN2016-0109","02/21/2016","Pending","Traffic Stop","Firearm (Exhibited)","L1","Black","Male","32","13","Male","Black","32","No","Resisting Lawful Arrest","No",1,"1","1"
"FTN2016-0107","02/21/2016","Use Of Force Authorized","Call for Service","Hands","L1","Black","Male","37","16","Female","White","29","No",NA,"No",1,"1","1"
