2018 Use of Force Data,,,,,,,,,,,,,
Event #,Call Type,Time of Day,Subject Weapon,Subject Age,Subject Gender,Subject Race,Subject Ethnicity,Alcohol Drugs,PD Force Type,# of Officers,Arrest or ProtectiveCustody,"Subject Injured- If yes, type:","Officer Injured- If yes, type:"
31,Disturbance,12:08AM,No,15,M,White,Non-Hisp.,None,Physical Force used to handcuff,2,Arrest,Yes-wrist,No
32,Disturbance,12:08AM,No,57,F,White,Non-Hisp.,None,Physical Force used to handcuff,2,Arrest,No,No
33,Disturbance,12:08AM,No,25,F,White,Non-Hisp.,None,Physical Force used to handcuff,2,Arrest,No,No
34,Disturbance,04:00PM,No,16,M,Black,Non-Hisp.,None,Forced to ground/Non-compliant escort ,1,Arrest,No,No
35,Domestic Dispute,12:30AM,No,24,F,White,Non-Hisp.,None,Non-compliant escort position,3,Arrest,No,No
36,Domestic Dispute,09:53PM,No,28,M,Black,Non-Hisp.,Alcohol,Taser Deployment,4,Arrest,No,No
37,Subject with warrant,11:15AM,No,30,M,Black,Non-Hisp.,None,Physical Force used to handcuff,3,Arrest,No,No
38,Domestic Dispute,12:30PM,No,36,M,Black,Non-Hisp.,Alcohol,Taser Displayed,4,Arrest,No,No
39,Breach of Peace,11:00AM,No,17,F,White,Non-Hisp.,None,Non-compliant escort position,2,Arrest,No,No
40,Disturbance,11:34PM,No,30,M,Black,Non-Hisp.,Cocaine,Forced to Ground,5,PC,No,No
41,Suspicious Activity,07:07PM,No,33,M,White,Non-Hisp.,None,Firearms Displayed,4,PC,No,No
42,MV stop,11:20PM,No,50,M,Black,Non-Hisp.,None,Firearms Displayed,5,Arrest,No,No
43,Mental Health,01:15AM,No,46,M,Black,Hispanic,None,Firearms Displayed,3,PC,No,No
44,Domestic Dispute,10:00PM,Yes,25,M,White,Non-Hisp.,Alcohol,Firearms Displayed,2,Arrest,No,No
45,Mental Health,09:03PM,No,50,M,White,Non-Hisp.,Alcohol,Firearms Displayed/Taser Deployment,2,PC,No,No
46,Disturbance,03:12PM,No,21,M,White,Hispanic,None,Forced to Ground/Taser Deployment,2,Arrest,No,Yes-broken nose
47,Disturbance,07:26PM,No,61,M,White,Non-Hisp.,Alcohol,Physical Force used to handcuff,2,Arrest,No,No
48,Disturbance,05:15PM,No,63,M,White,Non-Hisp.,None,Physical Force used to handcuff,2,Arrest,Yes-wrist,No
49,Burglary,10:15PM,No,19,M,Black,Non-Hisp.,Unknown,Firearms displayed/Forced to ground,4,Arrest,No,No
50,Dispute,05:47PM,No,37,M,Black,Non-Hisp.,Alcohol,Non-compliant escort position,1,Arrest,No,No
51,Intoxicated Subject,10:32PM,No,38,F,White,Non-Hisp.,Alcohol,Physical Force used to handcuff,4,Arrest,No,No
52,Domestic Dispute,01:00PM,No,56,F,White,Non-Hisp.,Alcohol,Forced to ground,1,Arrest,No,No
53,Armed Subject,04:23PM,No,27,M,White,Non-Hisp.,None,Physical Force used to handcuff,4,Arrest,No,No
54,Disturbance,02:45AM,No,37,M,White,Non-Hisp.,Alcohol,Forced to ground,2,PC,Yes-complaint of pain in head,Yes-injured left hand middle finger
55,Disturbance,02:32AM,No,42,M,Black,Non-Hisp.,None,Firearms Displayed,5,Arrest,No,No
56,Intoxicated Person,01:45AM,No,21,M,White,Non-Hisp.,Alcohol,Non-compliant escort position,2,PC,No,No
57,Domestic Dispute,03:10AM,No,31,M,White,Hispanic,None,Physical Force used to handcuff,3,Arrest,No,No
58,Disturbance,01:02AM,No,62,M,Black,Non-Hisp.,None,Firearms Displayed,2,Arrest,No,No
59,Robbery/Armed suspect,01:00AM,Yes,35,M,Black,Non-Hisp.,Alcohol,Firearms Displayed,5,Arrest,No,No
60,Domestic Dispute,03:58AM,No,22,M,White,Hispanic,None,Non-compliant escort position/Forced to ground,3,Arrest,Yes-abrasion on right hand,No
61,Mental Health,12:40PM,No,52,M,White,Non-Hisp.,None,Firearms Displayed,2,PC,No,No
62,Domestic Dispute,07:57Am,No,57,M,White,Hispanic,None,Firearms Displayed,3,Arrest,No,No
63,Larceny,05:40PM,No,37,M,White,Non-Hisp.,None,Forced to ground,1,Arrest,"Yes-laceration above right eye, finger",No
64,Disturbance,06:53AM,Yes,59,M,White,Non-Hisp.,None,Forced to ground/Non-compliant escort ,4,Arrest,No,No
65,Subject with warrant,07:00PM,No,32,M,White,Non-Hisp.,None,Firearms Displayed/K9 displayed,8,Arrest,No,No
66,Domestic Dispute,08:52PM,No,39,M,White,Non-Hisp.,Alcohol,Taser Displayed,3,Arrest,No,No
67,Domestic Dispute,07:54PM,No,39,M,Black,Non-Hisp.,None,Taser Displayed,1,Arrest,No,No
68,MV crash/evading,09:21PM,No,20,F,White,Hispanic,None,Forced to ground,2,Arrest,Yes-Laceration to forehead,Yes-laceration to knee
69,Disturbance,02:19AM,No,23,F,White,Non-Hisp.,Alcohol,Forced to ground,1,Arrest,No,No
70,Disturbance,10:20PM,No,27,F,White,Hispanic,Alcohol,Forced to ground,1,Arrest,Yes-laceration to left arm and left leg,Yes-pain in right shoulder
71,Subject with warrant,07:11PM,No,44,M,Black,Non-Hisp.,None,Firearms displayed,8,Arrest,No,No
72,Domestic Dispute,03:00PM,No,17,F,White,Non-Hisp.,None,Forced to ground/elbow-knee strike,7,Arrest,No,No
73,Domestic Dispute,03:00PM,No,17,M,Black,Non-Hisp.,None,Firearm displayed,7,Arrest,No,No
74,Disturbance,11:45PM,No,26,M,Black,Non-Hisp.,None,Forced to ground,2,Arrest,No,Yes-pulled muscle (left calf)
75,Mental Health,06:50PM,No,19,M,White,Non-Hisp.,None,Firearms displayed,4,PC,No,No
76,MV stop,10:45PM,Yes,32,M,Black,Non-Hisp.,Alcohol,Firearms Displayed,2,Arrest,No,No
77,Fight in Progress,01:25PM,Yes,23,M,Black,Non-Hisp.,None,Firearms Displayed,2,Arrest,No,No
78,MV stop,12:46AM,No,53,M,Black,Non-Hisp.,Alcohol,Firearms Displayed,2,Arrest,No,No
79,Car Accident,11:30PM,No,21,M,White,Non-Hisp.,Alc/Drugs,Forced to ground,3,Arrest,No,No
80,Disturbance,04:10PM,No,16,M,Black,Non-Hisp.,None,Physical Force used to handcuff,1,Arrest,No,No
81,MV stop,05:45PM,No,42,M,White,Non-Hisp.,Alcohol,Non-compliant escort position,1,Arrest,No,No
82,Domestic Dispute,07:16AM,No,36,M,Black,Non-Hisp.,Alcohol,Closed hand strike,4,Arrest,No,No
83,Subject with warrant,08:00PM,No,23,M,White,Hispanic,None,"Open/Closed hand strike, OC spray, Taser disp",1,Arrest,No,Yes-right hand and right cheek
84,Mental Health,01:00AM,No,24,M,White,Non-Hisp.,None,Forced to ground/Non-compliant escort ,4,PC,No,No
85,Interfering with Officer,04:35PM,No,16,M,White,Hispanic,None,Forced to ground/Firearm displayed,1,Arrest,No,No
86,,,,,,,,,,,,,
87,,,,,,,,,,,,,
88,,,,,,,,,,,,,
89,,,,,,,,,,,,,
90,,,,,,,,,,,,,
91,,,,,,,,,,,,,
92,,,,,,,,,,,,,
93,,,,,,,,,,,,,
94,,,,,,,,,,,,,
95,,,,,,,,,,,,,
96,,,,,,,,,,,,,
97,,,,,,,,,,,,,
98,,,,,,,,,,,,,
99,,,,,,,,,,,,,
100,,,,,,,,,,,,,
101,,,,,,,,,,,,,
102,,,,,,,,,,,,,
103,,,,,,,,,,,,,
104,,,,,,,,,,,,,
105,,,,,,,,,,,,,
106,,,,,,,,,,,,,
107,,,,,,,,,,,,,
108,,,,,,,,,,,,,
109,,,,,,,,,,,,,
110,,,,,,,,,,,,,
111,,,,,,,,,,,,,
112,,,,,,,,,,,,,
113,,,,,,,,,,,,,
114,,,,,,,,,,,,,
115,,,,,,,,,,,,,
116,,,,,,,,,,,,,
117,,,,,,,,,,,,,
118,,,,,,,,,,,,,
119,,,,,,,,,,,,,
